ORG_ID;PASKOLOS_DAVEJAS;SUTARTIES_NR;PASKOLOS_KLASIFIKACIJA;SKOLOS_TIPAS;VALIUTA;INVOICE_NUM;DOK_METAI;PERIODAS;DOK_DK_DATA;DOK_TYPE;INVOICE_TYPE;DOK_NR;APYVARTOS_TIPAS
112;"VMI prie LRFM";;;SAVIVALDYBES_PRISIIMTA_SKOLA;LTL;"AVMI Nr. 14-11-1";2007;200712;31-DEC-07;Įsipareigojimas;Standard;"AVMI Nr. 14-11-1";Įsipareigojimas;750030
112;"UniCredit Bank AS LT";;;SAVIVALDYBES_PRISIIMTA_SKOLA;LTL;"2003-01-30 Nr. 148V, 2002-11-20 715T";2007;200712;31-DEC-07;Įsipareigojimas;Standard;"2003-01-30 Nr. 148V, 2002-11-20 715T";Įsipareigojimas;10192000
113;"Nordea finance Lithuania, UAB";20040205;V;LIZINGAS;LTL;20040205/1;2007;200712;31-DEC-07;Įsipareigojimas;Standard;20040205/1;Įsipareigojimas;909288.21
113;"Nordea finance Lithuania, UAB";20040205;V;LIZINGAS;LTL;20040205/2;2007;200712;31-DEC-07;Įsipareigojimas;Standard;20040205/2;Įsipareigojimas;1437514.6
113;"Nordea finance Lithuania, UAB";20040205;V;PALUKANOS;LTL;95842.;2007;200712;31-DEC-07;Įsipareigojimas;Standard;95842.;Įsipareigojimas;31329.81
113;"Swedbank lizingas, UAB";LT026492;V;LIZINGAS;LTL;LT026492/1;2007;200712;31-DEC-07;Įsipareigojimas;Standard;LT026492/1;Įsipareigojimas;1413751.48
113;"Swedbank lizingas, UAB";LT026492;V;LIZINGAS;LTL;LT026492/2;2007;200712;31-DEC-07;Įsipareigojimas;Standard;LT026492/2;Įsipareigojimas;830414.98
113;"Swedbank lizingas, UAB";LT026492;V;PALUKANOS;LTL;0001685694;2007;200712;31-DEC-07;Įsipareigojimas;Standard;0001685694;Įsipareigojimas;33376.37
113;"Swedbank lizingas, UAB";LT026493;V;LIZINGAS;LTL;LT026493/1;2007;200712;31-DEC-07;Įsipareigojimas;Standard;LT026493/1;Įsipareigojimas;4088837.18
113;"Swedbank lizingas, UAB";LT026493;V;LIZINGAS;LTL;LT026493/2;2007;200712;31-DEC-07;Įsipareigojimas;Standard;LT026493/2;Įsipareigojimas;2401717.61
113;"Swedbank lizingas, UAB";LT026493;V;PALUKANOS;LTL;0001674448;2007;200712;31-DEC-07;Įsipareigojimas;Standard;0001674448;Įsipareigojimas;96530.78
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;3863;2008;200801;31-JAN-08;Įsipareigojimas;Standard;3863;Įsipareigojimas;2475.1
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;4211;2008;200804;30-APR-08;Įsipareigojimas;Standard;4211;Įsipareigojimas;1956.6
112;"UniCredit Bank AS LT";64;S;PALUKANOS;LTL;3998;2008;200803;15-MAR-08;Įsipareigojimas;Standard;3998;Įsipareigojimas;204598.74
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;4061;2008;200803;31-MAR-08;Įsipareigojimas;Standard;4061;Įsipareigojimas;2122.92
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;4389;2008;200805;30-MAY-08;Įsipareigojimas;Standard;4389;Įsipareigojimas;1855.8
112;"UniCredit Bank AS LT";64;S;PALUKANOS;LTL;4440;2008;200804;01-APR-08;Įsipareigojimas;Standard;4440;Įsipareigojimas;129540.32
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;4493;2008;200806;30-JUN-08;Įsipareigojimas;Standard;4493;Įsipareigojimas;1760.91
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;4768;2008;200807;31-JUL-08;Įsipareigojimas;Standard;4768;Įsipareigojimas;1721.54
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;4873;2008;200808;29-AUG-08;Įsipareigojimas;Standard;4873;Įsipareigojimas;1513.1
112;"UniCredit Bank AS LT";64;S;PALUKANOS;LTL;4953;2008;200809;15-SEP-08;Įsipareigojimas;Standard;4953;Įsipareigojimas;119062.38
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;5048;2008;200809;30-SEP-08;Įsipareigojimas;Standard;5048;Įsipareigojimas;1565.28
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;5313;2008;200810;31-OCT-08;Įsipareigojimas;Standard;5313;Įsipareigojimas;1415.27
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;5450;2008;200811;28-NOV-08;Įsipareigojimas;Standard;5450;Įsipareigojimas;1186.72
112;"UniCredit Bank AS LT";64;S;PALUKANOS;LTL;5592;2008;200812;15-DEC-08;Įsipareigojimas;Standard;5592;Įsipareigojimas;98341.47
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;KS02/07/05.01;2009;200901;05-JAN-09;Įsipareigojimas;Standard;KS02/07/05.01;Įsipareigojimas;95816.58
112;"VMI prie LRFM";;;SAVIVALDYBES_PRISIIMTA_SKOLA;LTL;"AVMI Nr. 14-11-1.";2007;200712;31-DEC-07;Įsipareigojimas;Standard;"AVMI Nr. 14-11-1.";Įsipareigojimas;554370
119;"Nordea Bank AB Lietuvos skyrius";KS02/07/03;S;PALUKANOS;LTL;palūkanos/03;2009;200901;19-JAN-09;Įsipareigojimas;Standard;palūkanos/03;Įsipareigojimas;51420.79
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;2009-sausis;2009;200901;26-JAN-09;Įsipareigojimas;Standard;2009-sausis;Įsipareigojimas;1076.13
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;palūkanos/05/02;2009;200901;19-JAN-09;Įsipareigojimas;Standard;palūkanos/05/02;Įsipareigojimas;88954.69
119;ERPB;22826;S;PALUKANOS;EUR;22826/1;2009;200902;02-FEB-09;Įsipareigojimas;Standard;22826/1;Įsipareigojimas;69671.26
113;"Nordea finance Lithuania, UAB";20040205;V;PALUKANOS;LTL;NFL144077;2008;200812;31-DEC-08;Įsipareigojimas;Standard;NFL144077;Įsipareigojimas;17705.58
113;"Swedbank lizingas, UAB";LT026492;V;PALUKANOS;LTL;LS0002298846.;2008;200812;31-DEC-08;Įsipareigojimas;Standard;LS0002298846.;Įsipareigojimas;75165.5
113;"Swedbank lizingas, UAB";LT026493;V;PALUKANOS;LTL;LS0002300842;2008;200812;31-DEC-08;Įsipareigojimas;Standard;LS0002300842;Įsipareigojimas;25989.13
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;"palū seb-516";2009;200901;30-JAN-09;Įsipareigojimas;Standard;"palū seb-516";Įsipareigojimas;70682.1
119;"SEB bankas";0040512020517-05;S;PALUKANOS;LTL;"palū seb-517";2009;200901;30-JAN-09;Įsipareigojimas;Standard;"palū seb-517";Įsipareigojimas;62167.73
119;"SEB bankas";0020312020094/09;S;PALUKANOS;LTL;"palū seb-09";2009;200901;30-JAN-09;Įsipareigojimas;Standard;"palū seb-09";Įsipareigojimas;36794.42
119;"Nordea Bank AB Lietuvos skyrius";KS02/07/02;S;PALUKANOS;LTL;"Nordea/02 palūkanos";2009;200902;06-FEB-09;Įsipareigojimas;Standard;"Nordea/02 palūkanos";Įsipareigojimas;239725.18
119;"SEB bankas";A64-19(3.4.-FN-1);S;PALUKANOS;LTL;"SEB A64-19 palūkanos";2009;200902;06-FEB-09;Įsipareigojimas;Standard;"SEB A64-19 palūkanos";Įsipareigojimas;3738604.93
112;"UniCredit Bank AS LT";64;S;PALUKANOS;LTL;4953.;2008;200809;15-SEP-08;Įsipareigojimas;Standard;4953.;Įsipareigojimas;119062.38
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;vasaris-2009;2009;200902;21-FEB-09;Įsipareigojimas;Standard;vasaris-2009;Įsipareigojimas;913.08
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;"Nordea/05 palūkanos";2009;200903;02-MAR-09;Įsipareigojimas;Standard;"Nordea/05 palūkanos";Įsipareigojimas;80346.17
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;"AB SEB/516/2";2009;200902;27-FEB-09;Įsipareigojimas;Standard;"AB SEB/516/2";Įsipareigojimas;26596.12
