KODAS;PAVADINIMAS;GALIOJA;SUMINE;SUKURIMO_DATA;MODIFIKAVIMO_DATA
0000000;Nedetalizuojama;Y;N;19-NOV-07;28-JAN-21
1000000;"Administracijos sąmatos";Y;Y;20-NOV-07;29-SEP-09
1000001;"Bendrų ekonominių ir socialinių planavimo paslaugų administravimas ir valdymas";Y;N;14-MAR-08;27-DEC-19
1000002;"Savivaldos institucijos (Taryba)";Y;N;14-MAR-08;25-OCT-21
1000003;"Bendrų ekonominių ir socialinių planavimo paslaugų administravimas ir valdymas";Y;N;14-MAR-08;27-DEC-19
1000004;"Civilinės būklės aktų registravimas";Y;N;14-MAR-08;14-MAR-08
1000005;"Valstybės garantijų nuomininkams, išsikeliantiems iš savininkams grąžintų gyvenamųjų namų ar jų dalių ir butų, vykdymas";Y;N;14-MAR-08;08-FEB-11
1000006;"Nuosavybės teisių atkūrimo sprendimų priėmimas";Y;N;14-MAR-08;14-MAR-08
1000007;"Gyventojų gyvenamosios vietos deklaravimo duomenų ir gyvanamosios vietos neturinčių asmenų apskaitos duomenų tvarkymas";Y;N;14-MAR-08;20-MAR-09
1000008;"Valstybinės kalbos priežiūra";Y;N;14-MAR-08;20-FEB-17
1000009;"Valstybės archyvų irregistrų išlaikymas bei saugojimas";Y;N;14-MAR-08;20-FEB-17
1000010;"Savivaldos institucijos (Tarybos sekretoriatas)";Y;N;20-NOV-07;20-FEB-17
1000011;"Karo prievolės ir mobilizacijos administravimas savivaldybėse";Y;N;14-MAR-08;14-MAR-08
1000012;"Kitos jokiai grupei nepriskirtos bendros valstybės paslaugos (Kitos išlaidos)";Y;N;14-MAR-08;27-DEC-19
1000013;"Kompiuterių ir duomenų apdorojimo tarnybų paslaugos (""KIS Savivaldybė"")";Y;N;14-MAR-08;14-MAR-08
1000014;"Bendri darbo reikalai, darbo politikos formavimas ir įgyvendinimas (Viešieji darbai)";Y;N;14-MAR-08;20-FEB-17
1000015;"Bendrų ekonominių ir socialinių planavimo paslaugų administravimas ir valdymas";Y;N;14-MAR-08;22-FEB-18
1000016;"Kompensacijų administravimas";Y;N;31-DEC-08;25-AUG-10
1000017;"Pirminė teisinė pagalba";Y;N;14-MAR-08;20-FEB-17
1000018;"Kitos bendros valstybės paslaugos (Administracijos direktoriaus rezervas)";Y;N;17-JUN-08;01-JUL-11
1000019;"Administracijos direktoriaus rezervas";Y;N;14-MAR-08;29-JUN-10
1000020;"LR finansų ministerijos 200 -  -   tarpusavio atsiskaitymai Nr.       kompensacijoms už išperkamą nekilnojamąjį turtą religinėms bendrijoms išmokėti (vykdant LRV 200 -  -   nutarimą Nr.    )";Y;N;20-NOV-07;28-OCT-13
1000021;"LR finansų ministerijos 200 -  -   tarpusavio atsiskaitymai Nr.       valstybės garantijoms nuomininkams, gyvenantiems savininkams grąžintinuose gyvenamuose namuose, jų dalyse, butuose, vykdyti (vykdant LRV 200 -  -   nutarimą Nr.    )";Y;N;14-MAR-08;25-AUG-10
1000022;"Valstybės archyvų ir registrų išlaikymas bei saugojimas (LR gyventojų registro įstatymu priskirto LR gyventojų registro tvarkymas ir duomenų teikimas valstybės registrui)";Y;N;14-MAR-08;20-FEB-17
1000023;"Kitos jokiai grupei nepriskirtos bendros valstybės paslaugos (Savivaldybės administracijos darbuotojų mokymo programa)";Y;N;14-MAR-08;20-FEB-17
1000024;"Rinkėjų registravimas, rinkimų ir referendumų rengimas";Y;N;14-MAR-08;14-MAR-08
1000025;"Centrinės institucijos išlaikymas (Žemės ūkio klausimų koordinavimas)";Y;N;14-MAR-08;20-FEB-17
1000026;"LR finansų ministerijos 200 -  -   tarpusavio atsiskaitymai Nr.      savininkams už išperkamus gyvenamuosius namus, jų dalis, butus atlyginti (vykdant LRV 200 -  -   nutarimas Nr.    )";Y;N;14-MAR-08;28-OCT-13
1000027;"Karo prievolės ir mobilizacijos administravimas savivaldybėse (mobilizacija)";Y;N;14-MAR-08;20-FEB-17
1000028;"Civilinės gynybos reikalų ir paslaugų administravimas";Y;N;14-MAR-08;20-FEB-17
1000029;"Civilinės būklės aktų registravimas";Y;N;19-MAR-08;19-MAR-08
1000030;"Duomenų apie suteiktą valstybės pagalbą teikimas valstybės pagalbos registrui";Y;N;20-NOV-07;20-FEB-17
1000031;"Bendrų ekonominių ir socialinių planavimo paslaugų administravimas ir valdymas (Finansų departamentas)";Y;N;14-MAR-08;27-DEC-19
1000032;"Savivaldybei priskirtos valstybinės žemės ir kito valstybės turto valdymas, naudojimas ir disponavimas juo patikėjimo teise";Y;N;14-MAR-08;01-JUL-11
1000033;"Bendrų ekonominių ir socialinių planavimo paslaugų administravimas ir valdymas (Miesto plėtros departamentas)";Y;N;14-MAR-08;04-NOV-21
1000034;"Centrinės institucijos išlaikymas (Miesto ūkio departamentas)";Y;N;14-MAR-08;04-NOV-21
1000035;"Žmogaus teisių apsauga (Vaikų teisių apsaugos tarnyba)";Y;N;14-MAR-08;01-JUL-11
1000036;"Žmogaus teisių apsauga (Vaikų teisių apsaugos tarnyba)";Y;N;14-MAR-08;20-FEB-17
1000037;"Centrinės institucijos išlaikymas (Sveikatos skyrius)";Y;N;14-MAR-08;27-DEC-19
1000038;"Centrinės institucijos išlaikymas (Socialinių reikalų departamentas)";Y;N;14-MAR-08;27-DEC-19
1000039;"Socialinių pašalpų ir išmokų administravimas";Y;N;14-MAR-08;27-DEC-19
1000040;"Žmogaus teisių apsauga (Kultūros ir ugdymo departamentas)";Y;N;20-NOV-07;01-JUL-11
1000041;"Centrinės institucijos išlaikymas (Kultūros ir ugdymo departamentas)";Y;N;14-MAR-08;27-DEC-19
1000042;"Centrinės institucijos išlaikymas (Kultūros ir ugdymo departamentas)";Y;N;14-MAR-08;27-DEC-19
1000043;"Žemės ūkio funkcijų vykdymas";Y;N;25-JAN-10;20-FEB-17
1000044;"Departamentų mokesčiai";Y;N;25-JAN-10;09-MAR-10
1000045;"Visuomenės informavimo priemonių parengimas (AD 2010-10-29 įsakymas Nr. 30-1944)";Y;N;15-NOV-10;15-NOV-10
1000046;"Kitos aplinkos teršimo mažinimo priemonės";Y;N;14-MAR-08;23-MAR-09
1000047;"Kitos aplinkos teršimo mažinimo priemonės";Y;N;14-MAR-08;23-MAR-09
1000048;"Kitos aplinkos teršimo mažinimo priemonės";Y;N;14-MAR-08;23-MAR-09
1000049;"Socialinių išmokų ir kompensacijų administravimas (Socialinių išmokų skyrius)";Y;N;13-JUL-11;27-JAN-14
1000050;Nenaudojama;Y;N;20-NOV-07;19-SEP-19
1000051;"Kompiuterių ir duomenų apdorojimo tarnybos paslaugos (KIS ""Savivaldybė""). Administracijos direktoriaus rezervas";Y;N;17-JUN-08;27-JAN-14
1000052;"LR finansų ministerijos tarpusavio atsiskaitymai";Y;N;14-MAR-08;11-JAN-12
1000053;"Centrinės institucijos išlaikymas (Socialinės globos teikimo asmenims su sunkia negalia paslaugos administravimas)";Y;N;14-MAR-08;20-FEB-17
1000054;"Gyventojų gyvenamosios vietos deklaravimo duomenų ir gyvanamosios vietos neturinčių asmenų apskaitos duomenų tvarkymas";Y;N;14-MAR-08;23-MAR-09
1000055;"Bendri darbo reikalai, darbo politikos formavimas ir įgyvendinimas (Viešųjų darbų administravimas)";Y;N;19-MAR-08;20-FEB-17
1000056;"Bendrų ekonominių ir socialinių planavimo paslaugų administravimas ir valdymas (Turto departamentas)";Y;N;14-MAR-08;19-SEP-19
1000057;"Centrinės institucijos išlaikymas (Socialinės paramos mokiniams administravimas)";Y;N;14-MAR-08;01-DEC-20
1000058;"Bendri darbo reikalai, darbo politikos formavimas ir įgyvendinimas (Neįgaliųjų socialinė integracija)";Y;N;14-MAR-08;14-MAR-08
1000059;"Gyventojų gyvenamosios vietos deklaravimo duomenų ir gyvanamosios vietos neturinčių asmenų apskaitos duomenų tvarkymas";Y;N;14-MAR-08;23-MAR-09
