VERSIJA;ISTAIGA;ISTAIGOS_PAV;FIN_SALTINIS;PROGRAMA;PRG;FUNK_KLAS;FUNK_K;EKON_KLAS;SAMATA;AV;SKIRTA_BIUDZETO;PATEIKTA_PARAISKU;GAUTI_ASIGN;KASINES_ISLAIDOS
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.1.1.1.1.1.;1000001;188710061;135175.83;1460000;1460000;1360350.86
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.1.2.1.1.1.;1000001;188710061;51428.17;420152;420152;420151.99
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.2.1.1.1.10.;1000001;188710061;2338.83;23287.06;21839.18;21839.18
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.2.1.1.1.11.;1000001;188710061;2413.5;21179.36;15006.87;14960.69
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.2.1.1.1.14.;1000001;188710061;149000.17;3537022.66;3537022.66;3537022.66
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.2.1.1.1.15.;1000001;188710061;3993.58;57616.15;56270.45;56270.45
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.2.1.1.1.20.;1000001;188710061;34161.42;;;
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.2.1.1.1.30.E.;1000001;188710061;7311.25;73827.77;66362.85;65813.5
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.2.1.1.1.30.K.;1000001;188710061;11311.25;79892.26;74560.98;76519.4
"2016 1/12 SAU";188710061;Administracija;01;16010101;16;01.03.02.09.;01;2.2.1.1.1.30.V.;1000001;188710061;12127.33;137269.28;124938.11;123529.04
