BIUDZETAS;SEGMENT1;SEGMENT2;SEGMENT3;SEGMENT4;SEGMENT5;SEGMENT6;SEGMENT7;SEGMENT8;SEGMENT9;SEGMENT10;METINE_SUMA;I_KETV;II_KETV;III_KETV;IV_KETV
"2022 VMS IV K.";5077;0000000;01;0000000000;000000000000;1.1.4.7.1.1.;0000000;0000000;000000000;000000;2880000;1400000;1480000;0;0
"2022 VMS IV K.";5077;0000000;01;0000000000;000000000000;1.3.4.1.1.1.C.;0000000;0000000;000000000;000000;4453100;1114400;1114300;1114200;1110200
"2022 VMS IV K.";5077;0000000;01;0000000000;000000000000;1.1.1.1.1.1.1.;0000000;0000000;000000000;000000;457666000;82155000;139864000;111217000;124430000
"2022 VMS IV K.";188710061;0000000;01;202060206;06.01.01.01.;2.8.1.1.1.2.;6000715;21040;000000000;000000;9500;2500;2000;2500;2500
"2022 VMS IV K.";193539929;0000000;20;204040102;08.02.01.06.;2.2.1.1.1.30.L.;4000679;21000;000000000;000000;45000;8000;6000;6000;25000
"2022 VMS IV K.";188710061;0000000;07;207040108;05.03.01.01.;2.2.1.1.1.12.;3000512;21020;000000000;000000;353800;;133800;156200;63800
"2022 VMS IV K.";190997565;0000000;01;202020202;10.02.01.40.;2.7.3.1.1.1.;6000460;21040;000000000;000000;40000;10000;10000;10000;10000
"2022 VMS IV K.";188710061;0000000;01;207110107;06.02.01.01.;2.2.1.1.1.12.;9000062;188710061;000000000;000000;20800;;;;20800
"2022 VMS IV K.";300132332;0000000;01;204020101;08.02.01.02.;2.2.1.1.1.20.3.;4000551;21000;000000000;000000;400;100;100;100;100
"2022 VMS IV K.";188710061;0000000;0233;202010101;10.03.01.01.;2.7.2.1.1.1.F.;6000100;90100;000000000;000000;2395000;681300;588200;721100;404400
"2022 VMS IV K.";288211390;0000000;01;204050101;08.02.01.06.;2.2.1.1.1.30.L.;4000543;21000;000000000;000000;3000;;3000;0;0
"2022 VMS IV K.";300620381;0000000;01;204010101;08.02.01.01.;2.2.1.1.1.21.;4000521;21000;000000000;000000;15000;4000;4000;4000;3000
"2022 VMS IV K.";302448350;0000000;20;204030103;08.02.01.08.;2.1.2.1.1.1.;4000579;21000;000000000;000000;100;;;;100
"2022 VMS IV K.";302448350;0000000;01;204060101;08.02.01.06.;2.2.1.1.1.30.L.;4000640;21000;000000000;000000;32700;;4700;28000;0
"2022 VMS IV K.";188210145;0000000;01;204030101;08.02.01.08.;2.2.1.1.1.30.L.;4000584;21000;000000000;000000;21300;5200;5900;5100;5100
"2022 VMS IV K.";190997750;0000000;01;202020201;10.02.01.02.;2.2.1.1.1.5.;6000420;21040;000000000;000000;400;200;100;100;0
"2022 VMS IV K.";303305444;0000000;01;203020101;09.05.01.01.;2.2.1.1.1.14.;4000501;21050;000000000;000000;18800;5000;13800;0;0
"2022 VMS IV K.";188710061;0000000;01;208020103;10.09.01.01.;2.2.1.1.1.30.K.;1000078;188710061;000000000;000000;100100;25100;33900;23200;17900
"2022 VMS IV K.";188710061;0000000;01;202010101;10.06.01.01.;2.7.2.1.1.1.B.;6000154;90100;000000000;000000;4679800;1900000;2800000;-20200;0
"2022 VMS IV K.";188710061;0000000;01;208020103;10.09.01.01.;2.2.1.1.1.20.3.;1000078;188710061;000000000;000000;800;200;200;200;200
"2022 VMS IV K.";190027941;0000000;01;202020106;10.01.02.02.;2.2.1.1.1.5.;6000094;21040;000000000;000000;400;300;300;0;-200
"2022 VMS IV K.";190010479;0000000;01;203020101;09.05.01.01.;2.7.3.1.1.1.;4000501;21050;000000000;000000;300;;300;0;0
"2022 VMS IV K.";190978821;0000000;01;202020305;10.04.01.01.;2.1.2.1.1.1.;6000510;21040;000000000;000000;14400;3500;4700;4000;2200
"2022 VMS IV K.";188710061;0000000;61;207060111;06.02.01.01.;2.2.1.1.1.12.;3000655;20960;000000000;000000;3082400;1082400;2000000;0;0
"2022 VMS IV K.";191738761;0000000;20;202020501;10.01.02.02.;2.2.1.1.1.30.K.;6000560;21040;000000000;000000;52100;10000;12000;26000;4100
"2022 VMS IV K.";188710061;0000000;01;204040114;08.02.01.06.;2.8.1.1.1.2.;4000697;21000;000000000;000000;9000;2300;2300;2200;2200
"2022 VMS IV K.";188710061;0000000;11;202060104;06.01.01.01.;2.8.1.1.1.2.;6000752;21040;000000000;000000;37000;11000;4000;10000;12000
"2022 VMS IV K.";188710061;0000000;2M24;20502030301;04.05.01.02.;3.1.1.2.1.3.;3001417;20960;000000000;000000;13050000;;;7050000;6000000
"2022 VMS IV K.";188210145;0000000;01;204030101;08.02.01.08.;2.2.1.1.1.16.;4000584;21000;000000000;000000;700;200;0;0;500
"2022 VMS IV K.";188710061;0000000;01;20710011301;06.02.01.01.;3.1.1.2.1.3.;3001565;20960;000000000;000000;56100;109000;0;-87000;34100
"2022 VMS IV K.";188710061;0000000;0233;208020103;10.09.01.01.;2.1.2.1.1.1.;1000049;188710061;000000000;000000;900;200;200;300;200
"2022 VMS IV K.";301850606;0000000;01;203010302;07.06.01.02.;2.1.2.1.1.1.;6000795;21060;000000000;000000;13200;3300;3300;3300;3300
"2022 VMS IV K.";188710061;0000000;2M14;208020112;01.06.01.02.;2.2.1.1.1.5.;1000007;188710061;000000000;000000;4000;1000;1000;1000;1000
"2022 VMS IV K.";301850606;0000000;01;203010302;07.06.01.02.;2.2.1.1.1.6.;6000795;21060;000000000;000000;500;200;100;100;100
"2022 VMS IV K.";188710061;0000000;2M08;208020108;02.02.01.01.;2.7.3.1.1.1.;1000028;188710061;000000000;000000;300;;;200;100
"2022 VMS IV K.";190998090;0000000;20;202020501;10.01.02.02.;2.2.1.1.1.5.;6000570;21040;000000000;000000;1500;1000;1500;-1500;500
"2022 VMS IV K.";190998090;0000000;20;202020501;10.01.02.02.;2.2.1.1.1.20.1.;6000570;21040;000000000;000000;32000;25000;0;0;7000
"2022 VMS IV K.";188710061;0000000;01;204090110;08.02.01.06.;2.2.1.1.1.30.O.;9000091;188710061;000000000;000000;2900;;;1000;1900
"2022 VMS IV K.";188209748;0000000;01;204030101;08.02.01.08.;2.2.1.1.1.15.;4000581;21000;000000000;000000;1700;3000;1000;900;-3200
"2022 VMS IV K.";188710061;0000000;01;204040107;08.02.01.06.;2.8.1.1.1.2.;4000687;21000;000000000;000000;90000;17500;27500;17500;27500
"2022 VMS IV K.";190978821;0000000;01;202020305;10.04.01.01.;2.2.1.1.1.20.4.;6000510;21040;000000000;000000;4700;2800;1400;500;0
