BIUDZETAS,ASIGNAVIMU_VALDYTOJAS,AV_DESCRIPTION,FIN_SALTINIS,FIN_DESCRIPTION,PRIEMONE,PRIEM_DESCRIPTION,PROGRAMA,PROG_DESCRIPTION,TIKSLAS,TIKSL_DESCRIPTION,FUNKCINE_KLAS,FUNK_DESCRIPTION,EKONOMINE_KLAS,EKON_DESCRIPTION,EKON_TIPAS,SAMATA,SAM_DESCRIPTION,PROG_VYKD,PROG_VYKD_DESCRIPTION,METINE_SUMA,I_KETV,II_KETV,III_KETV,IV_KETV
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010102,"Antakalnio seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170101,"Antakalnio seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000002,"Antakalnio seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",16300,,,5000,11300
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17010102,"Antakalnio seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170101,"Antakalnio seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000003,"Antakalnio seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",2200,,,2200,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010101,"Antakalnio bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170101,"Antakalnio seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000001,"Antakalnio bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,1400,1500
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010201,"Fabijoniškių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170102,"Fabijoniškių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000011,"Fabijoniškių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,1400,0,1500
"2017 M VMS PROJ",188710061,Administracija,28,"Paramos lėšos socialinės infrastruktūros plėtrai",17010202,"Fabijoniškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170102,"Fabijoniškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000013,"Fabijoniškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",4700,,,4700,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010202,"Fabijoniškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170102,"Fabijoniškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000012,"Fabijoniškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",9600,,,4800,4800
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010301,"Grigiškių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170103,"Grigiškių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000021,"Grigiškių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,2000,900
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010302,"Grigiškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170103,"Grigiškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000022,"Grigiškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",7000,,,7000,0
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010402,"Justiniškių seniūnijos teritorijos priežiūra ir atnaujinimas",17,"Seniūnijų veikla",170104,"Justiniškių seniūnijos veiklos organizavimas",06.02.01.01.,"Komunalinio ūkio plėtra",2.2.1.1.1.12.,"Miestų ir gyvenviečių viešasis ūkis",KITOS,9000032,"Justiniškių seniūnijos teritorijos priežiūra ir atnaujinimas",188710061,"Savivaldybės administracija",8200,,,,8200
"2017 M VMS PROJ",188710061,Administracija,01,"Savivaldybės biudžeto lėšos",17010401,"Justiniškių bendruomenės kultūrinės veiklos plėtra",17,"Seniūnijų veikla",170104,"Justiniškių seniūnijos veiklos organizavimas",08.02.01.06.,"Kultūros tradicijų ir mėgėjų meninės veiklos rėmimas",2.2.1.1.1.30.O.,"renginių organizavimas",KITOS,9000031,"Justiniškių bendruomenės kultūrinės veiklos plėtra",188710061,"Savivaldybės administracija",2900,,,,2900
