DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA;SISTEMINIS_NUMERIS;
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"324";"2000";"22-MAY-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"85";"44";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"324";"2000";"22-MAY-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";".01";"45";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"467";"2000";"02-AUG-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";".29";"46";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"467";"2000";"02-AUG-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"63.9";"47";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"490";"2000";"24-AUG-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";".95";"48";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"490";"2000";"24-AUG-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";".49";"49";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"490";"2000";"24-AUG-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"4600";"50";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"490";"2000";"24-AUG-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"7";"51";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"580";"2000";"16-OCT-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"152";"52";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"580";"2000";"16-OCT-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"98";"53";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"580";"2000";"16-OCT-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"114.2";"54";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"608";"2000";"31-OCT-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"12.35";"55";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"608";"2000";"31-OCT-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"355.5";"56";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"608";"2000";"31-OCT-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"1214";"57";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"608";"2000";"31-OCT-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"29.04";"58";
"Vilniaus miesto savivaldybės socialinių reikalų departamentas";"Įsakymas dėl našlaičiams skiriamos pašalpos";"608";"2000";"31-OCT-00";"";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"11";"59";
