SISTEMINIS_NUMERIS;DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA
4667;"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";A15-501-(2.1.4-SR7);2013;07-MAR-13;06-MAR-15;nuasmeninta;nuasmeninta;"Įsakymas dėl vienkartinių išmokų įsikurti Nr. A15-501-(2.1.4-SR7) 2013.03.07.";.01
4665;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-13792;2013;12-APR-13;31-DEC-15;"Mano Būstas Vilnius (Naujamiesčio būstas), UAB";121452091;"skolos peremimas Grinda A72-2189(3.1.36-UK) 2011.12.29 3370";1025541.76
4668;"Vilniaus miesto savivaldybės administracija";Įsakymas;30-1006;2010;05-MAY-10;;"Tvar.com, UAB";300730461;"Kompensacija Sausio 13 nukentėjusiems";101367.01
489;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";KO1/2010-4;2010;19-JAN-10;19-JAN-09;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos Santariškių g.";
6473;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A64-221/14;2014;18-DEC-14;18-DEC-15;"Lietuvos žinios, UAB";122220740;"Dėl parduodamų ir nuomojamų objektų sąrašo paskelbimo";
4666;"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";A50-13792/1;2013;12-APR-13;31-DEC-15;"Mano Būstas Vilnius (Naujamiesčio būstas), UAB";121452091;"skolos peremimas Grinda A72-2183(3.1.36-UK) 2011.12.29 3366";573726.51
507;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";KO1/2010-8;2010;11-FEB-10;11-FEB-09;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos sutarties Santariškių g.";
497;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";29-15(1.2.16-AD4);2010;21-JAN-10;01-JAN-99;"BĮ ""Vilniaus miesto socialinės paramos centras""";190997565;"atsiskaitymo už saltą vandenį ir elektros energiją";
496;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";29-11(1.2.16-AD4);2010;12-JAN-10;11-JAN-99;"Naujosios Vilnios kultūros centras";188210145;"kompensavimo sutartis";
483;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";Ko1/2010-1;2010;07-JAN-10;07-JAN-09;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos Maironio g.(Sereikiškių parkas ir bernardinų sodas)";
484;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";KO1/2010-2;2010;15-JAN-10;15-JAN-76;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos L. Asanavičiūtės g. 2";
485;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";KO1/2010-3;2010;15-JAN-10;15-JAN-09;"Vilniaus apskrities viršininko administracija";188601845;"Dėl žemės panaudos sutarties 3762 kv. m";
