IPLAUKU_DATA;SALTINIO_PAV;IMOKOS_KODAI;APRASYMAS;SUMA
03-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";356257.42
11-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";953344.46
25-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";115076.45
09-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";19675.59
11-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";813054.19
24-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";262694.56
08-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";666725.71
29-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";984749.22
12-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";214088.69
05-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";696403.19
06-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";622400.47
28-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1003833.71
15-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1405083.19
10-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";746735.92
27-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";262169.03
27-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";4868.74
02-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1128728.66
04-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";113702.27
04-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3164.34
28-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";204586.61
31-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";464733.26
27-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2942.42
27-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";329128.65
24-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";164463.19
23-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";344447.78
02-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";547588.05
09-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";72199.25
09-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";64304.7
09-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";643850.65
20-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";79764.63
17-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";863977.73
22-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";119778.18
02-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1352669.34
19-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";679177.76
22-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";482162.96
09-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";896400.85
27-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";334743.03
15-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1257885.37
08-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";678519.62
21-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";245308.16
14-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";331300.05
29-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1268490.55
16-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3284573.2
07-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";951946.55
22-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";350614.89
09-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";366662.01
09-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";37797.98
10-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";776446.4
18-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";565436.04
05-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";476755.86
02-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";486644.6
19-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";210597.16
16-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2700953.38
30-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";119738.3
30-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";8052.08
19-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";731778.85
19-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";6576.23
29-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1015303.78
08-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";521851.35
23-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";796411.4
17-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";8097.25
17-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";143820.81
17-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";417427.22
17-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";250473.52
28-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";166654.84
13-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";358802.96
01-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1874795.38
26-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";58334.78
17-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";150008.51
17-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";402105.58
17-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";33073.45
17-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";160568.33
31-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";394452.79
07-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";526140.56
30-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1500095.79
01-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1904377.01
04-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";286981.41
18-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";2856199.14
30-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";398009.56
14-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";783118.81
13-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";289959.86
13-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";374686.21
13-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1470.98
28-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";696685.81
16-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2738588.27
16-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";36656.04
11-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2760.72
11-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";510910.74
11-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";349533
31-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";403874.85
09-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1184472.38
