ASIGN_VALDYTOJAS,TIEKEJAS,POZYMIS,PROGRAMA,FIN_SALTINIS,SAMATA,SASKAITOS_NR,SASKAITOS_DATA,VALIUTA,SASKAITOS_SUMA,APMOKETA,APMOKETA_IKI_EIN_METU,APMOKETA_I_KETV,APMOKETA_II_KETV,APMOKETA_III_KETV,APMOKETA_IV_KETV,PASTABA,SUT_NR_FVAS,SUT_NR_AVILYS,ITRAUK_SUMA,PAR_DATA,PAR_NR
188710061,"PODOLSKAITĖ, VIOLETA","Tarybos narys",16010101,01,1000002,AV1-90/27-06.2019,30-JUN-19,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"PODOLSKAITĖ, VIOLETA","Tarybos narys",16010101,01,1000002,AV2016/338,30-SEP-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"PODOLSKAITĖ, VIOLETA","Tarybos narys",16010101,01,1000002,AV2017/390,29-SEP-17,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"PODOLSKAITĖ, VIOLETA","Tarybos narys",16010101,01,1000002,AV2017/415,06-OCT-17,EUR,271.15,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2016/10,29-JAN-16,EUR,156,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2016/143,18-MAY-16,EUR,61.9,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2016/180,29-JUN-16,EUR,207,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2017/530,24-NOV-17,EUR,223.41,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2018/110R,19-APR-18,EUR,279.94,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2018/244R,13-AUG-18,EUR,46.94,0,0,0,0,0,0,,-,-,,,
188710061,"LIUDKOVSKI, ARTUR","Tarybos narys",16010101,01,1000002,AV1-90/20-09.2018,30-SEP-18,EUR,899.99,0,0,0,0,0,0,,-,-,,,
188710061,"ILGIUS, VAIDOTAS","Tarybos narys",16010101,01,1000002,AV2016/72,31-MAR-16,EUR,446.54,0,0,0,0,0,0,,-,-,,,
188710061,"ILGIUS, VAIDOTAS","Tarybos narys",16010101,01,1000002,AV2018/181,30-MAR-18,EUR,886.56,0,0,0,0,0,0,,-,-,,,
188710061,"IMBRASAS, JUOZAS","Tarybos narys",16010101,01,1000002,AV2015/292,30-JUN-15,EUR,667,0,0,0,0,0,0,,-,-,,,
188710061,"RUDŽIONIS, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV2017/262,30-JUN-17,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16030101,01,1000012,AV2015/191,20-APR-15,EUR,159.83,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/371,30-SEP-15,EUR,778.74,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16030101,01,1000012,AV2015/38,25-FEB-15,EUR,176.69,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16030101,01,1000012,AV2015/4,30-JAN-15,EUR,178.42,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/482,31-DEC-15,EUR,730.65,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/8,08-JAN-15,EUR,75.32,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2016/76,31-MAR-16,EUR,820.54,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2017/315,11-SEP-17,EUR,133,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2018/184,31-MAR-18,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV24-16/18,02-MAY-18,EUR,95,0,0,0,0,0,0,,-,-,,,
188710061,"NĖNIUS, KĘSTUTIS","Tarybos narys",16010101,01,1000002,1-1621/26-12,04-DEC-14,EUR,289.62,289.62,289.62,0,0,0,0,,-,-,,,
188710061,"NĖNIUS, KĘSTUTIS","Tarybos narys",16010101,01,1000002,AV1-90/27-04.2019,23-APR-19,EUR,230,0,0,0,0,0,0,,-,-,,,
188710061,"NĖNIUS, KĘSTUTIS","Tarybos narys",16010101,01,1000002,AV1-90/27-06.2018,29-JUN-18,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"NĖNIUS, KĘSTUTIS","Tarybos narys",16010101,01,1000002,AV2017/388,30-SEP-17,EUR,875.12,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AMSFT04206072,07-JAN-19,EUR,31.78,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16010101,01,1000002,AV2017/283,24-JUL-17,EUR,154,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2017/516,06-NOV-17,EUR,56.84,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2017/521,06-NOV-17,EUR,95,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/130R,20-APR-18,EUR,26.4,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/131,01-MAR-18,EUR,75.29,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/133,01-MAR-18,EUR,25.44,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/137,14-MAR-18,EUR,24.4,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/147R,07-MAY-18,EUR,14,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/148R,18-MAY-18,EUR,36,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/202R,28-JUN-18,EUR,29.99,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/276R,05-SEP-18,EUR,26.8,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/318R,01-OCT-18,EUR,121.37,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/384R,03-DEC-18,EUR,41.75,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/47RR,05-SEP-18,EUR,26.03,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/5,08-JAN-18,EUR,19.5,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/58,08-FEB-18,EUR,25.59,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/60,16-FEB-18,EUR,19,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2018/8,18-JAN-18,EUR,38.85,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,AV2019/145R,28-JUN-19,EUR,81.16,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16010101,01,1000002,AV24-18/19,21-MAY-19,EUR,348,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16010101,01,1000002,AV24-30/19,22-JUL-19,EUR,260.5,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16030101,01,1000012,FALL318,19-MAR-19,EUR,33.5,0,0,0,0,0,0,,-,-,,,
188710061,"ŠVILPA, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV1-90/42-09.2018,30-SEP-18,EUR,853.33,0,0,0,0,0,0,,-,-,,,
188710061,"ŠVILPA, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV2016/463,30-DEC-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"SKARUPSKAS, MARIUS","Tarybos narys",16010101,01,1000002,AV2018/212,31-MAR-18,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"SKARUPSKAS, MARIUS","Tarybos narys",16010101,01,1000002,AV2019DU,23-APR-19,EUR,34.38,0,0,0,0,0,0,,-,-,,,
188710061,"MARTIKONIS, VIDMANTAS","Tarybos narys",16010101,01,1000002,AV2016/84,31-MAR-16,EUR,595.61,0,0,0,0,0,0,,-,-,,,
188710061,"MARTIKONIS, VIDMANTAS","Tarybos narys",16010101,01,1000002,AV2017/632,31-DEC-17,EUR,569.14,0,0,0,0,0,0,,-,-,,,
188710061,"BALČIŪNIENĖ, RITA","Tarybos narys",16010101,01,1000002,AV1-90/2-04.2019,23-APR-19,EUR,228.25,0,0,0,0,0,0,,-,-,,,
188710061,"BALČIŪNIENĖ, RITA","Tarybos narys",16010101,01,1000002,AV2015/280,30-JUN-15,EUR,143.5,0,0,0,0,0,0,,-,-,,,
188710061,"BALČIŪNIENĖ, RITA","Tarybos narys",16010101,01,1000002,AV2016/467,31-DEC-16,EUR,897.57,0,0,0,0,0,0,,-,-,,,
188710061,"BALČIŪNIENĖ, RITA","Tarybos narys",16010101,01,1000002,AV24-40/18,10-SEP-18,EUR,192,0,0,0,0,0,0,,-,-,,,
188710061,"BALČIŪNIENĖ, RITA","Tarybos narys",16030101,01,1000012,BANKMOK07,29-JUL-19,EUR,2.5,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16010101,01,1000002,AV1-90/4-03.2019,29-MAR-19,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2015/437,02-NOV-15,EUR,172.6,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2016/142,03-MAY-16,EUR,43.1,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2016/238,14-JUL-16,EUR,30.17,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2016/6,11-JAN-16,EUR,20.9,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16010101,01,1000002,AV2016/63,31-MAR-16,EUR,333.46,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16010101,01,1000002,AV2017/166,19-MAY-17,EUR,274.5,0,0,0,0,0,0,,-,-,,,
