Grupė,Kreditoriaus pavadinimas,"Skolos suma kreditoriui, Eur"
"Skola savivaldybės kontroliuojamoms įmonėms (SĮ, AB, UAB)","Vilniaus viešasis transportas, UAB","  20,090,500.00    "
"Skola savivaldybės kontroliuojamoms įmonėms (SĮ, AB, UAB)","Susisiekimo paslaugos, SĮ","  19,587,400.00    "
"Skola savivaldybės kontroliuojamoms įmonėms (SĮ, AB, UAB)","Grinda, UAB","  10,511,800.00    "
"Skola savivaldybės kontroliuojamoms įmonėms (SĮ, AB, UAB)","Vilniaus gatvių apšvietimo elektros tinklai, UAB","  5,550,100.00    "
"Skola savivaldybės kontroliuojamoms įmonėms (SĮ, AB, UAB)","Vilniaus vystymo kompanija, UAB ","  10,084,100.00    "
"Skola savivaldybės kontroliuojamoms įmonėms (SĮ, AB, UAB)",Vilniaus planas SĮ,"  1,529,900.00    "
"Skola savivaldybės kontroliuojamoms įmonėms (SĮ, AB, UAB)",Vilniaus miesto būstas SĮ,"  329,200.00    "
"Skola savivaldybės kontroliuojamoms įmonėms (SĮ, AB, UAB)",Vilniaus miesto parkai,"  348,800.00    "
"Skola savivaldybės kontroliuojamoms įmonėms (SĮ, AB, UAB)","Vilniaus vandenys, UAB","  4,114,300.00    "
Skola kitiems tiekėjams,"Vilniaus energija, UAB","  24,303,600.00    "
Skola kitiems tiekėjams,"Baltijos būsto priežiūra, UAB","  18,781,500.00    "
Skola kitiems tiekėjams,"Fegda, UAB","  4,047,400.00    "
Skola kitiems tiekėjams,"Stebulė, UAB","  3,359,000.00    "
Skola kitiems tiekėjams,VMI,"  3,395,200.00    "
Skola kitiems tiekėjams,Pontem,"  1,835,200.00    "
Skola kitiems tiekėjams,"Tiltuva, UAB","  1,878,200.00    "
Skola kitiems tiekėjams,Eurovia Lietuva,"  2,046,800.00    "
Skola kitiems tiekėjams,"Mano būstas LT, UAB (UAB ""City service Lt"")","  1,419,700.00    "
Skola kitiems tiekėjams,"Kauno tiltai, AB","  2,325,000.00    "
Skola kitiems tiekėjams,Kiti kreditoriai,"  9,074,500.00    "
"Skolos, perduotos kredito institucijoms",Bankrutuojanti akcinė bendrovė bankas Snoras,"  25,704,500.00    "
"Skolos, perduotos kredito institucijoms","Šiaulių bankas, AB","  17,345,400.00    "
"Skolos, perduotos kredito institucijoms","Šiaulių bankas, AB (naujas)","  5,500,000.00    "
Skolos kredito institucijoms (paskolos),AB SEB  bankas,"  2,816,100.00    "
Skolos kredito institucijoms (paskolos),"AB SEB bankas, Danske BANK A/S Lithuania Branch, AB DnB bankas, Swedbank AB, Nordea bank Finland Plc Lithuania Branch.","  5,328,300.00    "
Skolos kredito institucijoms (paskolos),"SIA ""UniCredit Leasing""","  6,757,800.00    "
Skolos kredito institucijoms (paskolos),Lietuvos Respublikos finansų ministerija,"  9,160,700.00    "
Skolos kredito institucijoms (paskolos),"AB SEB  bankas, Nordea bank Finland Plc Lithuania Branch","  20,973,200.00    "
Skolos kredito institucijoms (paskolos),Šiaulių bankas AB,"  20,570,800.00    "
Skolos kredito institucijoms (paskolos),AB DnB bankas,"  28,199,300.00    "
Skolos kredito institucijoms (paskolos),Nordic Investment Bank,"  59,950,800.00    "
