Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
0000000	0000000	Nedetalizuojama	*			.	
000000000	000000000	Nedetalizuojama	*			.Taip	
10000	10000	Administracija				.	
100000	100000	Elektroninio miesto departamentas				.	
1000001	1000001	Seniûnijos				.	
100001	100001	Neetatiniai darbuotojai (KIS)				.	
10001	10001	Autoriniai darbai (Delegacijø priëmimas, dalyvavimas tarptautiniuose renginiuose)				.	
10002	10002	Autoriniai darbai (Nusikaltimø ir kitø prevenciniø priemoniø ágyvendinimas)				.	
10003	10003	Autoriniai (Visuomenës informavimas apie savivaldybës veiklà bei informacijos monitoringas)				.	
10004	10004	Autoriniai darbai (Administracija)				.	
10005	10005	Autoriniai darbai (Savivaldos institucijos (Taryba))				.	
10006	10006	Autoriniai darbai (Savivaldybës administracijos darbuotojø mokymo programos vykdymas)				.	
100100	100100	Informaciniø technologijø skyrius				.	
100101	100101	Programavimo poskyris				.	
100102	100102	Technologijø ir sistemø poskyris				.	
100103	100103	Telekomunikacijø  poskyris				.	
100200	100200	Procesø valdymo skyrius				.	
100300	100300	Projektø valdymo skyrius				.	
100301	100301	Programavimo poskyris				.	
100302	100302	Projektø poskyris				.	
10100	10100	Vidaus audito skyrius				.	
1010000	1010000	Administracija				.	
1010001	1010001	Autoriniai darbai (Delegacijø priëmimas, dalyvavimas tarptautiniuose renginiuose)				.	
1010002	1010002	Autoriniai darbai (Nusikaltimø ir kitø prevenciniø priemoniø ágyvendinimas)				.	
1010003	1010003	Autoriniai (Visuomenës informavimas apie savivaldybës veiklà bei informacijos monitoringas)				.	
1010004	1010004	Autoriniai darbai (Administracija)				.	
1010005	1010005	Autoriniai darbai (Savivaldos institucijos (Taryba))				.	
1010006	1010006	Autoriniai darbai (Savivaldybës administracijos darbuotojø mokymo programos vykdymas)				.	
1010100	1010100	Vidaus audito skyrius				.	
1010200	1010200	Buhalterija				.	
1010201	1010201	Darbo uþmokesèio poskyris				.	
1010202	1010202	Planavimo ir apskaitos poskyris				.	
1010300	1010300	Vieðøjø pirkimø skyrius				.	
1010301	1010301	Dokumentø rengimo poskyris				.	
1010302	1010302	Pirkimø procedûrø poskyris				.	
1010400	1010400	Europos Sàjungos projektø koordinavimo skyrius				.	
1010401	1010401	Projektø finansø poskyris				.	
1010402	1010402	Projektø ágyvendinimo poskyris				.	
1010403	1010403	Projektø rengimo poskyris				.	
1010500	1010500	Aplinkos apsaugos skyrius				.	
1010501	1010501	Aplinkos kokybës kontrolës poskyris				.	
1010502	1010502	Atliekø tvarkymo administravimo poskyris				.	
1010503	1010503	Tarðos maþinimo ir programø rengimo poskyris				.	
1010504	1010504	Þeldynø ir vandens apsaugos poskyris				.	
1010600	1010600	Uþsienio ryðiø skyrius				.	
1010601	1010601	Protokolo poskyris				.	
1010602	1010602	Strateginës partnerystës poskyris				.	
1010603	1010603	Tarptautinio bendradarbiavimo poskyris				.	
1010700	1010700	Personalo skyrius				.	
1010701	1010701	Apskaitos ir organizavimo poskyris				.	
1010702	1010702	Etikos ir nusiþengimø tyrimø poskyris				.	
1010800	1010800	Antakalnio seniûnija				.	
1010900	1010900	Fabijoniðkiø seniûnija				.	
1011000	1011000	Grigiðkiø seniûnija				.	
1011100	1011100	Justiniðkiø seniûnija				.	
1011200	1011200	Karoliniðkiø seniûnija				.	
1011300	1011300	Lazdynø seniûnija				.	
1011400	1011400	Naujamiesèio seniûnija				.	
1011500	1011500	Naujininkø seniûnija				.	
1011600	1011600	Naujosios Vilnios seniûnija				.	
1011700	1011700	Paneriø seniûnija				.	
1011800	1011800	Paðilaièiø seniûnija				.	
1011900	1011900	Pilaitës seniûnija				.	
1012000	1012000	Rasø seniûnija				.	
1012100	1012100	Senamiesèio seniûnija				.	
1012200	1012200	Ðeðkinës seniûnija				.	
1012300	1012300	Ðnipiðkiø seniûnija				.	
1012400	1012400	Verkiø seniûnija				.	
1012500	1012500	Vilkpëdës seniûnija				.	
1012600	1012600	Virðuliðkiø seniûnija				.	
1012700	1012700	Þirmûnø seniûnija				.	
1012800	1012800	Þvëryno seniûnija				.	
1012900	1012900	Neetatiniai darbuotojai (valytojai)				.	
1013000	1013000	Autoriniai darbai (Seniûnijos)				.	
1013100	1013100	Aplinkos apsaugos skyrius				.	
1013200	1013200	Aprûpinimo skyrius			2010-12-01	.	
1013201	1013201	Eksploatacijos poskyris			2010-05-01	.	
1013202	1013202	Tiekimo poskyris				.	
1013203	1013203	Transporto poskyris				.	
1013300	1013300	Dokumentø valdymo skyrius				.	
1013301	1013301	Administracijos sekretoriatas				.	
1013400	1013400	Informaciniø technologijø skyrius				.	
1013401	1013401	Informaciniø technologijø valdymo poskyris				.	
1013402	1013402	Projektø valdymo poskyris				.	
1013403	1013403	Sistemø poskyris				.	
1013404	1013404	Telekomunikacijø poskyris				.	
1013406	1013406	Technologijø poskyris				.	
1013500	1013500	Strateginio valdymo skyrius				.	
1013501	1013501	Planavimo poskyris				.	
1013502	1013502	Procesø valdymo poskyris				.	
1014000	1014000	Turto valdymo ir verslo paslaugø departamentas				.	
1014100	1014100	Turto valdymo ir privatizavimo skyrius				.	
1014101	1014101	Privatizavimo poskyris				.	
1014102	1014102	Turto valdymo poskyris				.	
1014200	1014200	Turto valdymo ir privatizavimo skyrius			2010-05-01	.	
1014201	1014201	Ámoniø valdymo poskyris				.	
1014202	1014202	Privatizavimo poskyris				.	
1014203	1014203	Turto valdymo poskyris				.	
1014204	1014204	Þemës nuomos mokesèio administravimo poskyris				.	
1014300	1014300	Verslo ir paslaugø skyrius				.	
1014301	1014301	Licencijavimo poskyris				.	
1014302	1014302	Verslo organizavimo poskyris				.	
1014303	1014303	Reklamos poskyris				.	
1015000	1015000	Bendrøjø reikalø departamentas	*			.Taip	
1015100	1015100	Aprûpinimo skyrius				.	
1015200	1015200	Archyvas				.	
1015300	1015300	Interesantø aptarnavimo skyrius				.	
1015301	1015301	Administraciniø paslaugø poskyris				.	
1015302	1015302	Informacijos ir komunikacijos poskyris				.	
1015400	1015400	Transporto skyrius				.	
1016000	1016000	Civilinës saugos ir vieðosios tvarkos departamentas				.	
1016100	1016100	Civilinës saugos skyrius				.	
1016200	1016200	Karo prievolës administravimo skyrius				.	
1016300	1016300	Kalbos kontrolës ir administracinës veiklos skyrius				.	
1016400	1016400	Vieðosios tvarkos skyrius				.	
1016401	1016401	Operatyvinio reagavimo ir administracinës prieþiûros poskyris				.	
1016402	1016402	Teisës paþeidimø ir prevencijos poskyris				.	
1017000	1017000	Finansø departamentas				.	
1017100	1017100	Apskaitos skyrius				.	
1017101	1017101	Darbo uþmokesèio poskyris				.	
1017102	1017102	Finansavimo poskyris				.	
1017103	1017103	Iþdo poskyris				.	
1017104	1017104	Vidaus apskaitos poskyris				.	
1017200	1017200	Apskaitos ir finansø valdymo metodologijos skyrius				.	
1017300	1017300	Biudþeto skyrius				.	
1017301	1017301	Finansiniø iðtekliø ir iðlaidø poskyris				.	
1017302	1017302	Planavimo ir analizës poskyris				.	
1017400	1017400	Ekonominës analizës skyrius				.	
1017500	1017500	Investiciniø projektø skyrius				.	
1017600	1017600	Mokesèiø skyrius				.	
1017700	1017700	Europos Sàjungos projektø koordinavimo skyrius				.	
1018000	1018000	Miesto ûkio ir transporto departamentas				.	
1018100	1018100	Eismo organizavimo skyrius				.	
1018101	1018101	Vieðojo transporto poskyris				.	
1018102	1018102	Eismo valdymo poskyris				.	
1018103	1018103	Inþineriniø tinklø poskyris				.	
1018200	1018200	Energetikos ir statiniø skyrius				.	
1018201	1018201	Statiniø naudojimo prieþiûros poskyris				.	
1018202	1018202	Energetikos poskyris				.	
1018203	1018203	Pastatø administravimo poskyris				.	
1018300	1018300	Infrastruktûros skyrius				.	
1018301	1018301	Eksploatacijos poskyris				.	
1018302	1018302	Statybos poskyris				.	
1018303	1018303	Investicijø poskyris				.	
1018304	1018304	Projektavimo poskyris				.	
1018400	1018400	Miesto tvarkymo skyrius				.	
1018401	1018401	Teritorijø tvarkymo poskyris				.	
1018402	1018402	Þeldynø prieþiûros poskyris				.	
1019000	1019000	Kultûros, sporto ir turizmo departamentas				.	
1019100	1019100	Kultûros ir meno skyrius				.	
1019200	1019200	Kûno kultûros ir sporto skyrius				.	
1019300	1019300	Turizmo skyrius				.	
101T	101T	Administracija (suminis)				.	
10200	10200	Buhalterija				.	
1020000	1020000	Finansø departamentas				.	
10201	10201	Darbo uþmokesèio poskyris				.	
1020100	1020100	Biudþeto skyrius			2010-05-01	.	
1020101	1020101	Apskaitos ir atskaitomybës poskyris				.	
1020102	1020102	Finansavimo poskyris				.	
1020103	1020103	Finansiniø iðtekliø ir iðlaidø poskyris			2010-05-01	.	
1020104	1020104	Planavimo poskyris				.	
1020105	1020105	Skolinimosi ir finansiniø ásipareigojimø administravimo poskyris				.	
10202	10202	Planavimo ir apskaitos poskyris				.	
1020200	1020200	Ekonominës analizës skyrius			2010-05-01	.	
1020201	1020201	Investicijø poskyris				.	
1020300	1020300	Mokesèiø skyrius				.	
1020400	1020400	Verslo ir paslaugø skyrius				.	
1020600	1020600	Mokesèiø tarnyba				.	
102T	102T	Finansø departamentas (suminis)				.	
10300	10300	Vieðøjø pirkimø skyrius				.	
1030000	1030000	Ðvietimo, kultûros ir sporto departamentas	*			.Taip	
10301	10301	Dokumentø rengimo poskyris				.	
1030100	1030100	Ástaigø administravimo skyrius				.	
1030101	1030101	Energetikos ir pastatø administravimo poskyris				.	
1030102	1030102	Gyvenamojo fondo administravimo poskyris				.	
10302	10302	Pirkimø procedûrø poskyris				.	
1030200	1030200	Jaunimo reikalø skyrius				.	
1030203	1030203	Gatviø ir statiniø poskyris				.	
1030204	1030204	Miesto tvarkymo poskyris				.	
1030205	1030205	Sàlygø ir projektø derinimo poskyris				.	
1030206	1030206	Vieðojo transporto poskyris				.	
1030300	1030300	Kultûros ir meno skyrius			2010-05-01	.	
1030301	1030301	Menø vadybos poskyris				.	
1030302	1030302	Projektø vadybos poskyris				.	
1030400	1030400	Kûno kultûros ir sporto skyrius			2011-07-01	.	
1030401	1030401	Organizavimo ir strategijos poskyris				.	
1030402	1030402	Sporto ir baziø plëtros poskyris				.	
1030500	1030500	Planavimo ir apskaitos skyrius				.	
1030600	1030600	Ðvietimo skyrius				.	
1030601	1030601	Neformaliojo ðvietimo poskyris				.	
1030602	1030602	Ðvietimo analizës ir planavimo poskyris				.	
1030603	1030603	Ðvietimo organizavimo poskyris				.	
1030604	1030604	Vadybinës ir pedagoginës veiklos iðorës audito poskyris				.	
1030700	1030700	Turizmo ir miesto ávaizdþio skyrius				.	
