Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
0000000000000000	0000000000000000	Nedetalizuojama	*			.KITOS.2.Ne	
1.	1.	PAJAMOS	*			..6.	
1.1.	1.1.	Mokesèiai	*			..7.	
1.1.1.	1.1.1.	Pajamø ir pelno mokesèiai	*			..8.	
1.1.1.1.	1.1.1.1.	Gyventojø pajamø mokestis	*			..9.	
1.1.1.1.1.	1.1.1.1.1.	Gyventojø pajamø mokestis, ið viso (4+5+6)	*			..10.	
1.1.1.1.1.1.	1.1.1.1.1.1.	Gyventojø pajamø mokestis	*			..11.	
1.1.1.1.1.1.1.	1.1.1.1.1.1.1.	Gyventojø pajamø mokestis (gautas ið VMI)	*			.PAJAMOS.12.	
1.1.1.1.1.1.2.	1.1.1.1.1.1.2.	Gyventojø pajamø mokestis savivaldybiø iðlaidø struktûros skirtumams iðlyginti	*			.PAJAMOS.13.	
1.1.1.1.1.1.3.	1.1.1.1.1.1.3.	Gyventojø pajamø mokestis savivaldybiø pajamoms ið gyventojø pajamø mokesèio iðlyginti	*			.PAJAMOS.14.	
1.1.1.2.	1.1.1.2.	Pelno mokestis	*			..15.	
1.1.1.2.1.	1.1.1.2.1.	Pelno mokestis	*			..16.	
1.1.1.2.1.1.	1.1.1.2.1.1.	Pelno mokestis	*			.PAJAMOS.17.	
1.1.1.3.	1.1.1.3.	Socialinis mokestis	*			..18.	
1.1.1.3.1.	1.1.1.3.1.	Socialinis mokestis	*			..19.	
1.1.1.3.1.1.	1.1.1.3.1.1.	Socialinis mokestis	*			.PAJAMOS.20.	
1.1.2.	1.1.2.	Darbo jëgos ir atlyginimo mokesèiai	*			..21.	
1.1.2.1.	1.1.2.1.	Ámokos á Garantiná fondà	*			..22.	
1.1.2.1.1.	1.1.2.1.1.	Ámokos á Garantiná fondà	*			..23.	
1.1.2.1.1.1.	1.1.2.1.1.1.	Ámokos á Garantiná fondà	*			.PAJAMOS.24.	
1.1.2.2.	1.1.2.2.	Ámokos á Privalomàjá sveikatos draudimo fondà      	*			.PAJAMOS.25.	
1.1.2.2.1.	1.1.2.2.1.	Privalomojo sveikatos draudimo ámokos, administruojamos Valstybinio socialinio draudimo fondo valdybos      	*			.PAJAMOS.26.	
1.1.2.2.1.1.	1.1.2.2.1.1.	Privalomojo sveikatos draudimo ámokos, administruojamos Valstybinio socialinio draudimo fondo valdybos	*			.PAJAMOS.27.	
1.1.2.2.2.	1.1.2.2.2.	Privalomojo sveikatos draudimo ámokos, administruojamos Valstybinës mokesèiø inspekcijos	*			.PAJAMOS.28.	
1.1.2.2.2.1.	1.1.2.2.2.1.	Privalomojo sveikatos draudimo ámokos, administruojamos Valstybinës mokesèiø inspekcijos	*			.PAJAMOS.29.	
1.1.3.	1.1.3.	Turto mokesèiai	*			..30.	
1.1.3.1.	1.1.3.1.	Þemës mokestis	*			..31.	
1.1.3.1.1.	1.1.3.1.1.	Þemës mokestis	*			..32.	
1.1.3.1.1.1.	1.1.3.1.1.1.	Fiziniø asmenø mokestis	*			.PAJAMOS.33.	
1.1.3.1.1.2.	1.1.3.1.1.2.	Juridiniø asmenø mokestis	*			.PAJAMOS.34.	
1.1.3.2.	1.1.3.2.	Paveldimo turto mokestis	*			..35.	
1.1.3.2.1.	1.1.3.2.1.	Paveldimo turto mokestis	*			..36.	
1.1.3.2.1.1.	1.1.3.2.1.1.	Paveldimo turto mokestis	*			.PAJAMOS.37.	
