Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
00	00	Nedetalizuojama	*			.Ne...............Ne.Ne.................	
0000	0000	Nedetalizuojama	*			.Ne...............Ne.Ne.................	
01	01	Savivaldybës biudþeto lëðos	*			.Taip.Taip.Biudþeto skyrius EUR..4251001.4251004.4251001.4251004.4252001.4252004.4251002..7015001.Paskolos savivaldybës vardu.4252003.Taip..Taip..7015002.7025001.4252002.2282101.4251003.4252003.4251003.2282101.2282101..4151001.4152001.4151001.2225001.4251002	
02	02	Valstybës biudþeto specialioji tikslinë dotacija	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003..Ne.Taip................	
0201	0201	Lëðos valstybinëms funkcijoms atlikti	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0202	0202	Valstybës investicijø programoje numatytiems projektams melioracijai finansuoti	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0203	0203	Valstybës investicijø programoje numatytiems projektams polderiams eksploatuoti	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0204	0204	Vaikø ir jaunimo teisiø apsaugai	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0205	0205	Lëðos mokinio krepðeliui finansuoti	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0206	0206	Specialiøjø poreikiø moksleiviams iðlaikyti	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0208	0208	Valstybës investicijø programoje numatytiems projektams finansuoti	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0210	0210	Lëðos valstybës garantijø nuomininkams vykdymui	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0223	0223	Melioracijos iðlaidoms finansuoti	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
