Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
000000000000	000000000000	Nedetalizuojama	*			.21.	
01	01	BENDROS VALSTYBËS PASLAUGOS	*			.15.	
01.01.	01.01.	Valstybës valdþios organai, finansiniai ir fiskaliniai reikalai, uþsienio reikalai	*			.	
01.01.01.	01.01.01.	Valstybës valdþios organai (bendrosios paslaugos (toliau – BP))	*			.	
01.01.01.01.	01.01.01.01.	Valstybës vadovo institucijos ir ástaigos	*			.	
01.01.01.02.	01.01.01.02.	Apskrièiø virðininkø administracijos (valstybës valdymas)	*			.	
01.01.01.03.	01.01.01.03.	Savivaldos institucijos	*			.	
01.01.01.03D	01.01.01.03D	01.01.01.03.	*			.27.	
01.01.01.04.	01.01.01.04.	Kontrolës ir prieþiûros institucijos	*			.	
01.01.01.05.	01.01.01.05.	Vadovybës apsauga	*			.32.	
01.01.01.09.	01.01.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.33.	
01.01.02.	01.01.02.	Finansiniai ir fiskaliniai reikalai (BP)	*			.	
01.01.02.01.	01.01.02.01.	Finansiniø ir fiskaliniø reikalø bei tarnybø administravimas; valstybës lëðø ir valstybës skolos valdymas; apmokestinimo sistemos veikimas	*			.	
01.01.02.02.	01.01.02.02.	Finansø ministerijos, Valstybinës mokesèiø inspekcijos ir muitinës veikla	*			.	
01.01.02.03.	01.01.02.03.	Bendrosios informacijos, techninës dokumentacijos ir statistiniø duomenø apie finansinius ir fiskalinius reikalus rengimas ir platinimas	*			.	
01.01.02.04.	01.01.02.04.	Finansiniø nusikaltimø bei paþeidimø atskleidimas ir tyrimas	*			.	
01.01.02.05.	01.01.02.05.	Mokestiniø ginèø nagrinëjimas	*			.	
01.01.02.09.	01.01.02.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.40.	
01.01.03.	01.01.03.	Uþsienio reikalai (BP)	*			.	
01.01.03.01.	01.01.03.01.	Uþsienio reikalø ir paslaugø administravimas	*			.	
01.01.03.02.	01.01.03.02.	URM ir diplomatiniø bei konsuliniø atstovybiø, esanèiø uþsienyje arba tarptautinëse organizacijose, veikla	*			.	
01.01.03.03.	01.01.03.03.	Reguliarios ámokos ir specialûs ánaðai tarptautiniø organizacijø veiklos iðlaidoms padengti	*			.	
01.01.03.04.	01.01.03.04.	Integracija á ES	*			.	
01.01.03.05.	01.01.03.05.	Informacijos ir kultûros tarnybø, skleidþianèiø informacijà uþ ðalies ribø, veikla arba joms teikiama parama; bibliotekø, skaityklø ir uþsienyje esanèiø informacijos tarnybø veikla arba joms teikiama parama	*			.	
01.01.03.09.	01.01.03.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.47.	
01.02.	01.02.	Ekonominë pagalba uþsieniui	*			.	
01.02.01.	01.02.01.	Ekonominë pagalba besivystanèioms ir pereinamojo laikotarpio ðalims (BP)	*			.	
01.02.01.01.	01.02.01.01.	Ekonominio bendradarbiavimo su besivystanèiomis ðalimis ir pereinamojo laikotarpio ðalimis administravimas	*			.	
01.02.01.02.	01.02.01.02.	Ekonominës pagalbos misijø, akredituotø uþsienio atstovybëse, veikla; techninës pagalbos programø, mokymo programø, doktorantø, moksliniø bendradarbiø ir studentø stipendijø mokëjimo sistemø veikimas ir jiems teikiama parama	*			.	
01.02.01.03.	01.02.01.03.	Ekonominë pagalba dotacijomis arba paskolomis	*			.	
01.02.01.09.	01.02.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.53.	
01.02.02.	01.02.02.	Ekonominë pagalba, teikiama per tarptautines organizacijas (BP)	*			.	
01.02.02.01.	01.02.02.01.	Ekonominës pagalbos, teikiamos per tarptautines organizacijas, administravimas	*			.	
01.02.02.02.	01.02.02.02.	Ánaðai pinigais arba natûra á tarptautiniø, vietos arba kitø daugiaðaliø organizacijø administruojamus ekonominës plëtros fondus	*			.	
01.02.02.09.	01.02.02.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.57.	
01.03.	01.03.	Bendros paslaugos	*			.	
01.03.01.	01.03.01.	Bendros personalo paslaugos (BP)	*			.	
01.03.01.01.	01.03.01.01.	Bendrø personalo paslaugø administravimo paslaugos, áskaitant bendros personalo politikos plëtrà ir ágyvendinimà, apimantá darbuotojø atrankos, paaukðtinimo procedûras, darbo ávertinimo metodus, darbuotojø vertinimà ir klasifikavimà,	*			.	
01.03.01.09.	01.03.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.61.	
01.03.02.	01.03.02.	Bendros planavimo ir statistiniø duomenø paslaugos (BP)	*			.	
01.03.02.01.	01.03.02.01.	Bendrø ekonominiø ir socialiniø planavimo paslaugø, áskaitant bendrø ekonominiø ir socialiniø planø ir programø formulavimà, koordinavimà ir prieþiûrà, administravimas ir valdymas	*			.	
01.03.02.01D	01.03.02.01D	01.03.02.01.	*			.63.	
01.03.02.02.	01.03.02.02.	Bendrø statistiniø paslaugø, áskaitant bendrø statistiniø planø ir programø formulavimà, koordinavimà ir prieþiûrà, administravimas ir valdymas	*			.	
01.03.02.09.	01.03.02.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.66.	
01.03.03.	01.03.03.	Kitos bendros paslaugos (BP)	*			.	
01.03.03.01.	01.03.03.01.	Centralizuotos tiekimo ir pirkimo paslaugos, valstybei nuosavybës teise priklausanèiø arba nuomojamø pastatø naudojimas, kompiuteriø ir duomenø apdorojimo tarnybø paslaugos	*			.	
01.03.03.02.	01.03.03.02.	Valstybës registrø ir archyvø iðlaikymas bei saugojimas	*			.	
01.03.03.02B	01.03.03.02B	Valstybës registrø ir archyvø iðlaikymas bei saugojimas	*			.68.Ne	
01.03.03.03.	01.03.03.03.	Centrinis transporto priemoniø ûkis	*			.	
01.03.03.04.	01.03.03.04.	Spaustuviø paslaugos	*			.	
01.03.03.05.	01.03.03.05.	Valstybës dokumentø technologinë apsauga	*			.	
01.03.03.06.	01.03.03.06.	Specialieji apskaitos blankai	*			.	
01.03.03.09.	01.03.03.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.75.	
01.04.	01.04.	Pagrindiniai tyrimai	*			.	
01.04.01.	01.04.01.	Pagrindiniai tyrimai (BP)	*			.	
01.04.01.01.	01.04.01.01.	Valstybës ástaigø ir mokslo institucijø, atliekanèiø pagrindinius tyrimus, administravimas ir veikla	*			.	
01.04.01.02.	01.04.01.02.	Dotacijos, paskolos arba subsidijos paremti mokslinio tyrimo institutams ir universitetams, atliekantiems pagrindinius tyrimus	*			.	
01.05.	01.05.	Moksliniai tyrimai ir plëtra bendrø valstybës paslaugø srityje	*			.	
01.05.01.	01.05.01.	Moksliniai tyrimai ir plëtra bendrø valstybës paslaugø srityje (BP)	*			.	
01.05.01.01.	01.05.01.01.	Valstybës ástaigø, atliekanèiø taikomuosius tyrimus ir eksperimentinæ plëtrà, susijusià su bendromis valstybës paslaugomis, administravimas ir valdymas	*			.	
01.05.01.02.	01.05.01.02.	Dotacijos, paskolos arba subsidijos paremti mokslinio tyrimo institutams ir universitetams, atliekantiems taikomuosius mokslinius tyrimus ir eksperimentinæ plëtrà, susijusià su bendromis valstybës paslaugomis	*			.	
01.06.	01.06.	Kitos jokiai grupei nepriskirtos bendros valstybës paslaugos	*			.	
01.06.01.	01.06.01.	Kitos jokiai grupei nepriskirtos bendros valstybës paslaugos (BP)	*			.	
01.06.01.01.	01.06.01.01.	Rinkëjø registravimas, rinkimø ir referendumø rengimas	*			.	
01.06.01.02.	01.06.01.02.	Þmogaus teisiø apsauga	*			.	
01.06.01.02B	01.06.01.02B	Þmogaus teisiø apsauga	*			.97.Ne	
01.06.01.02D	01.06.01.02D	01.06.01.02.	*			.95.	
01.06.01.03.	01.06.01.03.	Valstybinës kalbos prieþiûra	*			.	
01.06.01.03B	01.06.01.03B	Valstybinës kalbos prieþiûra	*			.92.Ne	
01.06.01.04.	01.06.01.04.	Lietuvos gyventojø genocido ir rezistencijos tyrimai	*			.	
01.06.01.05.	01.06.01.05.	Civilinës bûklës aktø registravimas	*			.	
01.06.01.05B	01.06.01.05B	Civilinës bûklës aktø registravimas	*			.93.Ne	
01.06.01.06.	01.06.01.06.	Dokumentø pilietybei suteikti rengimas	*			.	
01.06.01.06B	01.06.01.06B	Dokumentø pilietybei suteikti rengimas	*			.86.Ne	
01.06.01.07.	01.06.01.07.	Savivaldybei priskirtos valstybinës þemës ir kito valstybës turto valdymas, naudojimas ir disponavimas juo patikëjimo teise paskirties pastatus nagrinëjimas bei sprendimø dël nuosavybës teisës atkûrimo priëmimas	*			.	
01.06.01.07B	01.06.01.07B	Savivaldybei priskirtos valstybinës þemës ir kito valstybës turto valdymas, naudojimas ir disponavimas juo patikëjimo teise;	*			.87.Ne	
01.06.01.08.	01.06.01.08.	Pilieèiø praðymø atkurti nuosavybës teises á gyvenamuosius namus, jø dalis, butus, ûkinës ir komercinës  paskirties pastatus nagrinëjimas bei sprendimø dël nuosavybës teisës atkûrimo priëmimas	*			.105.	
01.06.01.08B	01.06.01.08B	Pilieèiø praðymø atkurti nuosavybës teises á gyvenamuosius namus, jø dalis, butus, ûkinës ir komercinës paskirties pastatus nagrinëjimas bei sprendimø dël nuosavybës teisës atkûrimo priëmimas	*			.88.Ne	
01.06.01.09.	01.06.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.106.	
01.06.01.09B	01.06.01.09B	Valstybës garantijø nuomininkams, iðsikeliantiems ið savininkams gràþintø gyvenamøjø namø ar jø daliø ir butø, vykdymas	*			.96.Ne	
01.06.01.09D	01.06.01.09D	01.06.01.09.	*			.94.	
01.06.01.10.	01.06.01.10.	Savivaldybiø administracijos direktoriaus rezervo tvarkymo programa	*			.	
01.06.01.11.	01.06.01.11.	Kitos bendros valstybës paslaugos	*			.	
01.06.01.11B	01.06.01.11B	Kitos bendros valstybës paslaugos	*			.89.Ne	
01.06.01.11D	01.06.01.11D	01.06.01.11.	*			.85.	
01.06.01.12.	01.06.01.12.	Pirminë teisinë pagalba	*			.	
01.06.01.12B	01.06.01.12B	Pirminë teisinë pagalba	*			.90.Ne	
01.06.01.13.	01.06.01.13.	Valstybës garantijø nuomininkams, iðsikeliantiems ið savininkams gràþintø gyvenamøjø namø ar jø daliø ir butø, vykdymas	*			.110.	
01.07.	01.07.	Palûkanos	*			.	
01.07.01.	01.07.01.	Palûkanos (BP)	*			.	
01.07.01.01.	01.07.01.01.	Palûkanos uþ valstybës skolà	*			.	
01.08.	01.08.	Bendri pervedimai tarp ávairiø valstybës valdymo lygiø	*			.	
01.08.01.	01.08.01.	Bendri pervedimai tarp ávairiø valstybës valdymo lygiø (BP)	*			.	
01.08.01.01.	01.08.01.01.	Specialiosios tikslinës dotacijos savivaldybëms	*			.	
01.08.01.02.	01.08.01.02.	Bendrosios dotacijos kompensacija	*			.	
01.08.01.03.	01.08.01.03.	Kitos savivaldybëms pervedamos lëðos	*			.	
01.08.01.04.	01.08.01.04.	Nuompinigiai uþ valstybës ilgalaiká materialøjá turtà, pervedami asignavimø valdytojams	*			.	
01.08.01.10.	01.08.01.10.	Privalomojo draudimo ámokos uþ asmenis, draudþiamus valstybiniu socialiniu pensijø draudimu valstybës lëðomis	*			.	
01B	01B	BENDROS VALSTYBËS PASLAUGOS	*			.	
02	02	GYNYBA	*			.	
02.01.	02.01.	Karinë gynyba	*			.	
02.01.01.	02.01.01.	Karinë gynyba (BP)	*			.	
02.01.01.01.	02.01.01.01.	Karinës gynybos reikalø ir paslaugø administravimas	*			.	
02.01.01.02.	02.01.01.02.	Gynybos pajëgos ir jø palaikymas	*			.	
02.01.01.03.	02.01.01.03.	Dalyvavimas tarptautinëse operacijose	*		2014-06-26	..	
02.01.01.04.	02.01.01.04.	Karo lauko ligoninës	*			.	
02.01.01.05.	02.01.01.05.	Karo prievolës ir mobilizacijos administravimas savivaldybëse	*			.	
02.01.01.05B	02.01.01.05B	Karo prievolës ir mobilizacijos administravimas savivaldybëse	*			.123.Ne	
02.01.01.06.	02.01.01.06.	Gynybos politikos formavimas ir ágyvendinimo koordinavimas	*			.	
02.02.	02.02.	Civilinë sauga	*			.129.	
02.02.01.	02.02.01.	Civilinë sauga (BP)	*			.131.	
02.02.01.01.	02.02.01.01.	Civilinës saugos reikalø ir paslaugø administravimas	*			.132.	
02.02.01.01B	02.02.01.01B	Civilinës saugos reikalø ir paslaugø administravimas	*			.130.Ne	
02.02.01.02.	02.02.01.02.	Planø nenumatytiems atvejams sudarymas	*			.133.	
02.02.01.03.	02.02.01.03.	Pratybø, kuriose dalyvautø civilinës ástaigos ir gyventojai, rengimas	*			.	
02.02.01.04.	02.02.01.04.	Civilinës gynybos pajëgø valdymas arba joms teikiama parama	*			.	
02.03.	02.03.	Karinë pagalba uþsieniui ir dalyvavimas tarptautinëse operacijose	*			.136.	
02.03.01.	02.03.01.	Karinë pagalba uþsieniui (BP)	*			.	
02.03.01.01.	02.03.01.01.	Karinës pagalbos administravimas ir karinës pagalbos misijø, akredituotø uþsienio valstybëse arba esanèiø prie tarptautiniø kariniø organizacijø arba aljansø, valdymas	*			.	
02.03.01.02.	02.03.01.02.	Karinë pagalba dotacijomis, paskolomis arba skolinant árangà;	*			.139.	
02.03.01.03.	02.03.01.03.	Dalyvavimas tarptautinëse taikos palaikymo pajëgose ir kitose tarptautinëse operacijose	*	2014-06-26		.140.	
02.04.	02.04.	Moksliniai tyrimai ir plëtra gynybos srityje	*			.	
02.04.01.	02.04.01.	Moksliniai tyrimai ir plëtra gynybos srityje (BP)	*			.	
02.04.01.01.	02.04.01.01.	Valstybës ástaigø ir institucijø, atliekanèiø taikomuosius tyrimus ir eksperimentinæ plëtrà gynybos srityje, administravimas ir valdymas	*			.	
02.04.01.02.	02.04.01.02.	Mokslinio tyrimo institutø ir universitetø, atliekanèiø taikomuosius mokslinius tyrimus ir eksperimentinæ plëtrà, susijusià su gynyba, rëmimas	*			.	
02.05.	02.05.	Kiti jokiai grupei nepriskirti gynybos reikalai	*			.	
02.05.01.	02.05.01.	Kiti jokiai grupei nepriskirti gynybos reikalai (BP)	*			.	
02.05.01.01.	02.05.01.01.	Karo prievolës ir mobilizacijos administravimas	*			.	
02.05.01.02.	02.05.01.02.	Valstybës sienos apsauga	*			.	
02.05.01.03.	02.05.01.03.	Kiti jokiai grupei nepriskirti gynybos reikalai	*			.149.	
02.05.01.09.	02.05.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.150.	
02B	02B	GYNYBA	*			.	
03	03	VIEÐOJI TVARKA IR VISUOMENËS APSAUGA	*			.	
03.01.	03.01.	Policija	*			.	
03.01.01.	03.01.01.	Policija (BP)	*			.	
03.01.01.01.	03.01.01.01.	Policijos ástaigos	*			.	
03.01.01.02.	03.01.01.02.	Nuolatiniø ir papildomø policijos pajëgø, uosto, valstybës sienos ir pakrantës apsaugos tarnybø ir kitø specialiøjø policijos pajëgø, iðlaikomø ið valstybës, valdymas	*			.	
03.01.01.03.	03.01.01.03.	Uþsienieèiø registravimas, darbo ir kelionës dokumentø iðdavimas imigrantams	*			.	
03.01.01.04.	03.01.01.04.	Kontrabandos ir nusikaltimø prevencija	*			.	
03.01.01.09.	03.01.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.157.	
03.02.	03.02.	Prieðgaisrinë sauga	*			.158.	
03.02.01.	03.02.01.	Prieðgaisrinë sauga (BP)	*			.159.	
03.02.01.01.	03.02.01.01.	Prieðgaisrinës tarnybos	*			.	
03.02.01.01B	03.02.01.01B	Prieðgaisrinës tarnybos	*			.160.Ne	
03.02.01.09.	03.02.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.162.	
03.03.	03.03.	Teismai	*			.	
03.03.01.	03.03.01.	Teismai (BP)	*			.	
03.03.01.01.	03.03.01.01.	Teisësaugos ástaigos	*			.	
03.04.	03.04.	Kriminalines bausmes vykdanèios ástaigos	*			.	
03.04.01.	03.04.01.	Kriminalines bausmes vykdanèios ástaigos (BP)	*			.	
03.04.01.01.	03.04.01.01.	Kriminalines bausmes vykdanèios ástaigos	*			.	
03.04.01.09.	03.04.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.169.	
03.05.	03.05.	Moksliniai tyrimai ir plëtra vieðosios tvarkos ir visuomenës apsaugos srityse	*			.	
03.05.01.	03.05.01.	Moksliniai tyrimai ir plëtra vieðosios tvarkos ir visuomenës apsaugos srityse (BP)	*			.	
03.05.01.01.	03.05.01.01.	Mokslinio tyrimo darbai	*			.	
03.06.	03.06.	Kiti jokiai grupei nepriskirti vieðosios tvarkos ir visuomenës apsaugos reikalai	*			.	
03.06.01.	03.06.01.	Kiti jokiai grupei nepriskirti vieðosios tvarkos ir visuomenës apsaugos reikalai (BP)	*			.	
03.06.01.01.	03.06.01.01.	Kitos iðlaidos (ástatymø ágyvendinimo sistemø pagrindø sukûrimas)	*			.	
03.06.01.09.	03.06.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.176.	
03B	03B	VIEÐOJI TVARKA IR VISUOMENËS APSAUGA	*			.	
04	04	EKONOMIKA	*			.	
04.01.	04.01.	Bendri ekonomikos, prekybos ir darbo reikalai	*			.	
04.01.01.	04.01.01.	Bendri ekonomikos ir prekybos reikalai (BP)	*			.	
04.01.01.01.	04.01.01.01.	Dotacijos ir paskolos arba subsidijos paremiant bendrà ekonominæ ir komercinæ politikà ir programas	*			.	
04.01.01.02.	04.01.01.02.	Nekilnojamojo turto kadastro ir registro informacinës sistemos plëtra ir eksploatavimas	*			.	
04.01.01.03.	04.01.01.03.	Lietuvos Respublikos alkoholio ir tabako kontrolës ástatymø ir su ðiais ástatymais susijusiø teisës aktø kontrolë	*			.	
04.01.01.04.	04.01.01.04.	Kitos ekonominës veiklos administravimas	*			.182.	
04.01.01.05.	04.01.01.05.	Bankroto valdymas	*			.	
04.01.01.06.	04.01.01.06.	Standartizacijos darbø, metrologijos bei akreditacijos sistemos koordinavimas, prieþiûra ir kontrolë	*			.	
04.01.01.07.	04.01.01.07.	Duomenø apsaugos valdymas	*			.	
04.01.01.08.	04.01.01.08.	Rinkø tyrimas, reguliavimas ir kita	*			.	
04.01.01.09.	04.01.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.187.	
04.01.01.10.	04.01.01.10.	Vartotojø apsauga	*			.	
04.01.01.11.	04.01.01.11.	Nacionalinës pramoninës nuosavybës teisinë apsauga	*			.	
04.01.01.12.	04.01.01.12.	Turto rinkos kainø nustatymas	*			.	
04.01.01.13.	04.01.01.13.	Turto vertinimo plëtra	*			.	
04.01.01.14.	04.01.01.14.	Ekonominis vartotojø interesø gynimas	*			.	
04.01.01.15.	04.01.01.15.	Apskaitos plëtra	*			.	
04.01.01.16.	04.01.01.16.	Lietuvos Respublikos vieðøjø pirkimø ástatymo ágyvendinimas, pirkimø veiklos koordinavimas ir prieþiûra, pirkimø sistemos tobulinimas	*			.	
04.01.02.	04.01.02.	Bendri darbo reikalai (BP)	*			.	
04.01.02.01.	04.01.02.01.	Bendri darbo reikalai, darbo politikos formavimas ir ágyvendinimas; darbo sàlygø prieþiûra ir reguliavimas; bendrø programø, palengvinanèiø darbo mobilumà, sumaþinanèiø diskriminacijà, nedarbà, kûrimas; darbo birþø valdymas	*			.197.	
04.01.02.01B	04.01.02.01B	Bendri darbo reikalai, darbo politikos formavimas ir ágyvendinimas; darbo sàlygø prieþiûra ir reguliavimas; bendrø programø, palengvinanèiø darbo mobilumà, sumaþinanèiø diskriminacijà, nedarbà, kûrimas; darbo birþø valdymas	*			.196.Ne	
04.01.02.02.	04.01.02.02.	Dotacijos, paskolos arba subsidijos, skirtos bendrai darbo politikai ir programoms paremti	*			.	
04.01.02.09.	04.01.02.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.199.	
04.02.	04.02.	Þemës ûkis, miðkininkystë, þvejyba ir medþioklë	*			.	
04.02.01.	04.02.01.	Þemës ûkis (BP)	*			.	
04.02.01.01.	04.02.01.01.	Þemës prieþiûra	*			.	
04.02.01.01B	04.02.01.01B	Þemës prieþiûra	*			.202.Ne	
04.02.01.02.	04.02.01.02.	Agrarinë reforma, þemëtvarka, þemës kadastras ir geodezija	*			.	
04.02.01.03.	04.02.01.03.	Valstybës pagalbos priemonës	*			.	
04.02.01.04.	04.02.01.04.	Pereinamojo laikotarpio plëtros priemonës	*			.	
04.02.01.05.	04.02.01.05.	Þemës ûkio administravimas	*			.	
04.02.01.06.	04.02.01.06.	Kitos paramos þemës ûkiui priemonës	*			.	
04.02.01.09.	04.02.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.211.	
04.02.01.09B	04.02.01.09B	Centrinës institucijos iðlaikymas	*			.204.Ne	
04.02.01.09D	04.02.01.09D	04.02.01.09.	*			.201.	
04.02.01.10.	04.02.01.10.	Kitos þemës ûkio ástaigos ir priemonës	*			.	
04.02.01.11.	04.02.01.11.	Kompensacijos, dotacijos, paskolos arba subsidijos þemës ûkio subjektams, vykdantiems þemës ûkio veiklà	*			.	
04.02.01.12.	04.02.01.12.	Nacionalinë kaimo plëtros programa SAPARD programai ágyvendinti	*			.	
04.02.01.13.	04.02.01.13.	Valstybës maisto ir veterinarijos tarnybos sistemos administravimas	*			.	
04.02.02.	04.02.02.	Miðkininkystë (BP)	*			.	
04.02.02.01.	04.02.02.01.	Miðkø prieþiûra	*			.	
04.02.02.02.	04.02.02.02.	Miðko masyvø þeldinimo darbai, kenkëjø ir ligø kontrolë, miðko gaisro ir prieðgaisriniø tarnybø paslaugø miðkø savininkams teikimas	*			.	
04.02.02.03.	04.02.02.03.	Bendros informacijos, techniniø dokumentø ir statistikos apie miðkininkystës veiklà ir tarnybas rengimas ir platinimas	*			.	
04.02.02.04.	04.02.02.04.	Dotacijos, paskolos arba subsidijos paremti komercinei miðkø panaudojimo veiklai	*			.	
04.02.02.09.	04.02.02.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.221.	
04.02.03.	04.02.03.	Þvejyba ir medþioklë (BP)	*			.	
04.02.03.01.	04.02.03.01.	Þvejybos ir medþioklës reikalø ir paslaugø administravimas	*			.	
04.02.03.02.	04.02.03.02.	Bendros informacijos, techninës dokumentacijos ir statistiniø duomenø apie þvejybos ir medþioklës veiklà rengimas ir platinimas	*			.	
04.02.03.03.	04.02.03.03.	Dotacijos, paskolos arba subsidijos komercinei þvejybai ir medþioklei, áskaitant þuvininkystës ûkiø statybà arba naudojimà, paremti	*			.	
04.02.03.09.	04.02.03.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.226.	
04.03.	04.03.	Kuras ir energija	*			.	
04.03.01.	04.03.01.	Akmens anglys ir kitas kietasis kuras (BP)	*			.	
04.03.01.01.	04.03.01.01.	Akmens anglys ir kitas kietasis kuras	*			.	
04.03.02.	04.03.02.	Nafta ir gamtinës dujos (BP)	*			.	
04.03.02.01.	04.03.02.01.	Nafta ir gamtinës dujos	*			.	
04.03.03.	04.03.03.	Branduolinis kuras (BP)	*			.	
04.03.03.01.	04.03.03.01.	Branduolinis kuras	*			.	
04.03.04.	04.03.04.	Kitas kuras (BP)	*			.	
04.03.04.01.	04.03.04.01.	Kitas kuras	*			.	
04.03.05.	04.03.05.	Elektros energija (BP)	*			.	
04.03.05.01.	04.03.05.01.	Energetikos rinkos licencijavimas	*			.	
04.03.06.	04.03.06.	Ne elektros energija (BP)	*			.	
04.03.06.01.	04.03.06.01.	Ne elektros energija	*			.	
04.03.07.	04.03.07.	Kuras ir energija (BP)	*			.240.	
04.03.07.01.	04.03.07.01.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.241.	
04.04.	04.04.	Iðgaunamoji ir apdirbamoji pramonë ir statyba	*			.	
04.04.01.	04.04.01.	Mineraliniø iðtekliø, iðskyrus kurà, gavyba (BP)	*			.	
04.04.01.01.	04.04.01.01.	Mineraliniø iðtekliø, iðskyrus kurà, gavyba	*			.	
04.04.01.09.	04.04.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.245.	
04.04.02.	04.04.02.	Apdirbamoji pramonë (BP)	*			.	
04.04.02.01.	04.04.02.01.	Ûkio plëtros politikos formavimas ir ágyvendinimas	*			.	
04.04.02.02.	04.04.02.02.	Eksporto plëtros ir skatinimo strategijos ágyvendinimas	*			.	
04.04.02.03.	04.04.02.03.	Pramonës konkurencingumo didinimas	*			.	
04.04.02.09.	04.04.02.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.250.	
04.04.03.	04.04.03.	Statyba (BP)	*			.	
04.04.03.01.	04.04.03.01.	Teritorijø planavimo ir statybos valstybinë prieþiûra ir koordinavimas	*			.	
04.04.03.09.	04.04.03.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.253.	
04.05.	04.05.	Transportas	*			.	
04.05.01.	04.05.01.	Keliø transportas (BP)	*			.	
04.05.01.01.	04.05.01.01.	Keleiviø veþimo gerinimas	*			.	
04.05.01.02.	04.05.01.02.	Keliø transporto plëtra, kontrolë ir prieþiûra	*			.	
04.05.01.09.	04.05.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.258.	
04.05.02.	04.05.02.	Vandens transportas (BP)	*			.	
04.05.02.01.	04.05.02.01.	Vidaus vandens keliø prieþiûra ir eksploatavimas	*			.	
04.05.02.02.	04.05.02.02.	Teisës aktø ágyvendinimo organizavimas	*			.	
04.05.02.09.	04.05.02.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.262.	
04.05.03.	04.05.03.	Geleþinkeliø transportas (BP)	*			.	
04.05.03.01.	04.05.03.01.	Visuomenës aptarnavimo ásipareigojimø vykdymas geleþinkeliø sektoriuje	*			.	
04.05.03.02.	04.05.03.02.	Infrastruktûros renovacija ir plëtra	*			.	
04.05.03.03.	04.05.03.03.	Geleþinkeliø transporto saugaus eismo uþtikrinimas	*			.	
04.05.03.04.	04.05.03.04.	Geleþinkeliø infrastruktûros stebësena	*			.	
04.05.03.09.	04.05.03.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.268.	
