Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
00	00	Nedetalizuojama	*			..Ne....Ne...	
0000000000	0000000000	Nedetalizuojama	*			..Ne....Ne...	
01	01	Vaikø, jaunimo ir suaugusiøjø ugdymas	*			..Ne....Ne...	
01002010401	01002010401	Uþimtumo didinimas	*			..Ne.......	
0101	0101	Uþtikrinti mokiniø privalomà mokymàsi bendrojo lavinimo mokyklose	*			..Ne....Ne...	
010101	010101	Finansuoti ir priþiûrëti pavaldþias bendrojo lavinimo ástaigas, vykdanèias pagrindinio ir vidurinio mokymo programas	*			..Ne....Ne...	
01010101	01010101	Moksleivio krepðelio finansavimas Vilniaus m. bendrojo lavinimo ástaigose	*			..Ne....Ne...	
01010102	01010102	Mokymo aplinkos finansavimas  bendrojo lavinimo ástaigose	*			..Ne....Ne...	
01010103	01010103	Ilgalaikio turto ásigijimas	*			..Ne....Ne...	
01010103001	01010103001	Vilniaus Ðeðkinës vidurinës mokyklos saugos sistemos kûrimas	*			..Ne.......	
01010104	01010104	Suolø ir mokymo priemoniø ásigijimas	*			..Ne....Ne...	
01010105	01010105	Nuolatinis pedagogø, vadovø ir ugdymo procese dalyvaujanèiø specialistø profesinis tobulinimasis ir neágalumà turinèiø asmenø rengimas profesinei karjerai	*			..Ne....Ne...	
01010106	01010106	Romø segregacijos programos vykdymas	*			..Ne....Ne...	
01010107	01010107	Patrauklios mokymosi aplinkos, maþinanèios iðkritimà ir bendrojo lavinimo sistemos kûrimas	*			..Ne....Ne...	
01010108	01010108	Energijos vartojimo efektyvumo didinimo projektai vykdomi bendrojo lavinimo mokyklose (Salomëjos Nëries gimnazija, Joachimo Lelevelio, Jeruzalës, Lazdynø, Vingio, Baltupiø, Grigiðkiø, Pranciðkaus Skorinos, S. Kovalevskajos, Simono Stanevièi	*			..Ne....Ne...	
01010108001	01010108001	Energijos vartojimo efektyvumo didinimas Vilniaus Salomëjos Nëries gimnazijoje	*			..Ne.......	
01010108002	01010108002	Energijos vartojimo efektyvumo didinimas Vilniaus Joachimo Lelevelio vidurinëje mokykloje	*			..Ne.......	
01010108003	01010108003	Energijos vartojimo efektyvumo didinimas Vilniaus Jeruzalës vidurinëje mokykloje	*			..Ne.......	
01010108004	01010108004	Energijos vartojimo efektyvumo didinimas Lazdynø vidurinëje mokykloje	*			..Ne.......	
01010108005	01010108005	Vilniaus Jono Basanavièiaus gimnazijos (Vingio vidurinës mokyklos) pastato renovacija	*			..Ne.......	
01010108006	01010108006	Energijos vartojimo efektyvumo didinimas Vilniaus "Kalvarijø" pagrindinëje mokykloje	*			..Ne.......	
01010108007	01010108007	Energijos vartojimo efektyvumo didinimas Vilniaus Baltupiø progimnazijoje	*			..Ne.......	
01010108008	01010108008	Energijos vartojimo efektyvumo didinimas Vilniaus Grigiðkiø vidurinëje mokykloje	*			..Ne.......	
01010108009	01010108009	Energijos vartojimo efektyvumo didinimas Vilniaus Pranciðkaus Skorinos vidurinëje mokykloje	*			..Ne.......	
01010108010	01010108010	Vilniaus miesto A. Vienuolio pagrindinës mokyklos pastato renovacija	*			..Ne.......	
01010108011	01010108011	Vilniaus miesto S. Kovalevskajos vidurinës mokyklos pastato renovacija	*			..Ne.......	
01010108012	01010108012	Vilniaus Simono Stanevièiaus vidurinës mokyklos pastato renovacija	*			..Ne.......	
01010109	01010109	Mokyklø iðorës auditas	*			..Ne.......	
01010110	01010110	Gabiø vaikø ugdymo programos ágyvendinimas	*			..Ne.......	
01010111	01010111	Vadovø mokymo organizavimas	*			..Ne.......	
01010112	01010112	Mokytojø veiklos koordinavimo centro steigimas	*			..Ne.......	
01010113	01010113	Pedagogø valstybinës kalbos mokymo programø vykdymas	*			..Ne.......	
01010114	01010114	Bendrojo lavinimo mokyklø reorganizavimo vykdymas	*			..Ne.......	
01010115	01010115	Programinës árangos ásigijimo iðlaidø finansavimas bendrojo lavinimo mokyklose	*			..Ne.......	
01010116	01010116	Prailgintø grupiø bendrojo lavinimo vidurinëse mokyklose atidarymas	*			..Ne.......	
01010117	01010117	Infrastruktûros plëtros projektø rengimas	*			..Ne.......	
01010118	01010118	MTP+ programos projektas „Bendrojo lavinimo mokyklø bibliotekø modernizavimas“	*			..Ne.......	
01010119	01010119	MTP+ programos projektas „Bendrojo lavinimo mokyklø modernizavimas“	*			..Ne.......	
01010120	01010120	MTP+ programos projektas „Jaunimo mokyklø aplinkos pritaikymas“	*			..Ne.......	
01010121	01010121	MTP+ programos projektas „Technologijø, menø ir gamtos mokslø infrastruktûra“	*			..Ne.......	
01010122	01010122	MTP+ programos projektas „Pedagoginiø psichologiniø tarnybø infrastruktûros, ðvietimo  ástaigose dirbanèiø specialiøjø pedagogø, socialiniø pedagogø, psichologø, logopedø darbo aplinkos modernizavimas“	*			..Ne.......	
01010123	01010123	Projektas „Lyderiø laikas 2“	*			..Ne.......	
01010124	01010124	Ugdymo karjerai infrastruktûros bendrajame lavinime ir profesiniame mokyme sukûrimas ir plëtra	*			..Ne.......	
0102	0102	Tenkinti mokiniø paþinimo, lavinimosi ir saviraiðkos poreikius (neformalusis ugdymas)	*			..Ne....Ne...	
