Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
0	0	Nebalansinës sàskaitos	*			.....Ne...	
0000000	0000000	Nedetalizuojama	*			.....Ne...	
00000000	00000000	Nedetalizuojama	*			........	
01	01	Ilgalaikis Turtas	*			.....Ne...	
011	011	Nematerialusis turtas	*			.....Ne...	
0110001	0110001	Plëtros darbai	*			.....Ne...	
0110002	0110002	Programinë áranga ir jos licencijos	*			.....Ne...	
0110003	0110003	Patentai ir kitos licencijos	*			.....Ne...	
0110004	0110004	Literatûros, mokslo ir meno kûriniai	*			.....Ne...	
0110005	0110005	Kitas nematerialusis turtas	*			.....Ne...	
011K	011K	Nematerialiojo turto tarpinës sàskaitos	*			.....Ne...	
011K001	011K001	Nematerialiojo turto tarpinë pajamavimo sàskaita	*			.....Ne...	
011K002	011K002	Nematerialiojo turto tarpinë nebaigtos statybos sàskaita	*			.....Ne...	
012	012	Ilgalaikis materialusis turtas	*			.....Ne...	
0121	0121	Þemë	*			.....Ne...	
0121001	0121001	Þemë	*			.....Ne...	
0122	0122	Pastatai ir statiniai	*			.....Ne...	
0122001	0122001	Gyvenamieji pastatai	*			.....Ne...	
0122002	0122002	Negyvenamieji pastatai	*			.....Ne...	
0122003	0122003	Kiti statiniai	*			.....Ne...	
0123	0123	Infrastruktûros statiniai	*			.....Ne...	
0123001	0123001	Keliai, gatvës, tiltai, kiti susisiekimo statiniai	*			.....Ne...	
0123002	0123002	Hidrotechniniai statiniai	*			.....Ne...	
0123003	0123003	Vamzdynai, ryðiø ir elektros kanalizacijos	*			.....Ne...	
0123004	0123004	Sporto ir poilsio statiniai	*			.....Ne...	
0123005	0123005	Þeldynai	*			.....Ne...	
0123006	0123006	Kiti infrastruktûros statiniai	*			.....Ne...	
0124	0124	Maðinos ir árenginiai	*			.....Ne...	
0124001	0124001	Gamybos maðinos ir árenginiai	*			.....Ne...	
0124002	0124002	Ginkluotë ir karinë technika	*			.....Ne...	
0124003	0124003	Medicinos áranga	*			.....Ne...	
0124004	0124004	Kompiuteriø technika ir ryðiø priemonës	*			.....Ne...	
0124006	0124006	Kita áranga	*			.....Ne...	
0125	0125	Transporto priemonës	*			.....Ne...	
0125001	0125001	Transporto priemonës	*			.....Ne...	
0126	0126	Kultûros vertybës	*			.....Ne...	
0126001	0126001	Muziejinës vertybës	*			.....Ne...	
0126002	0126002	Antikvariniai ir meno kûriniai	*			.....Ne...	
0126003	0126003	Kitos vertybës	*			.....Ne...	
0126004	0126004	Baldai ir inventorius	*			.....Ne...	
0127	0127	Kitas materialusis turtas	*			.....Ne...	
0127001	0127001	Scenos meno priemonës	*			.....Ne...	
0127002	0127002	Bibliotekø fondai	*			.....Ne...	
0127003	0127003	Kitas materialusis turtas	*			.....Ne...	
0129	0129	Prarastas ilgalaikis turtas	*			........	
0129001	0129001	Prarastas ilgalaikis turtas	*			........	
012K	012K	Ilgalaikio materialiojo turto tarpinës sàskaitos	*			.....Ne...	
012K001	012K001	Ilgalaikio materialiojo turto tarpinë pajamavimo sàskaita	*			.....Ne...	
012K002	012K002	Ilgalaikio materialiojo turto tarpinë nebaigtos statybos sàskaita	*			.....Ne...	
013	013	Biologinis turtas	*			.....Ne...	
0130001	0130001	Miðkai	*			.....Ne...	
0130002	0130002	Gyvûnai	*			.....Ne...	
0130003	0130003	Daugiameèiai sodiniai	*			.....Ne...	
0130004	0130004	Kitas biologinis turtas	*			.....Ne...	
0130005	0130005	Þemës gelmiø iðtekliai	*			.....Ne...	
0130006	0130006	Kitas gamtoje atsirandantis turtas	*			.....Ne...	
013K	013K	Biologinio turto tarpinë sàskaita	*			.....Ne...	
013K001	013K001	Biologinio turto tarpinë pajamavimo sàskaita	*			.....Ne...	
014	014	Pagal panaudos sutartis gautas turtas	*			........	
0140001	0140001	Pagal panaudos sutartis gautas turtas	*			........	
015	015	Turtas, perduotas patikëjimo teise savivaldybëms ir ne vieðojo sektoriaus subjektams	*			........	
